"군급","군급상태","명칭(한글)","명칭(영문)","주석(한글)","주석(영문)","포함(한글)","포함(영문)","제외(한글)","제외(영문)"
"1950","A","건선거(乾船渠)","Floating Drydocks","","","","","",""
"1955","A","준설선","Dredges","","","선체 없는 준설선, 원양항행 준설선, 부유 준설선","Includes Dredges, without Hull; Ocean-Going Dredges; Floating Dredges.","",""
"1990","A","기타 함선","Miscellaneous Vessels","","","상선","Includes Commercial Sailing Vessels.","",""
"2000","A","함선 및 해상장비","Ship and Marine Equipment","","","","","",""
"2010","A","함선 추진장치 구성품","Ship and Boat Propulsion Components","","","추진축; 선박용 프로펠러, 후진 및 감속기어형 선박용 변속장치","Includes Propulsion Shafts; Ship Proppellers. Marine Transmissions, Reverse and Reduction Gear Type.","엔진(군급 2810 ""항공기 가솔린 왕복엔진 및 구성품"", 2815 ""디젤엔진 및 구성품""); 터빈(군급 2825 ""증기터빈 및 구성품"", 2835 ""비항공기 원동기 및 항공기 비원동기용 가스터빈, 제트엔진 및 그 구성품"", 2840 ""항공기 원동기용 가스터빈, 제트엔진 및 그 구성품"")","Excludes Engines (FSC 2810, 2815); Turbines (FSC 2825, 2835, 2840)."
"2020","A","삭구(索具) 및 삭구장치 [註] ⓐ삭구:배에서 쓰이는 로프나 쇠사슬 따위를 통틀어 이르는 말","Rigging and Rigging Gear","","","돛대; 마루대공(왕대공); 돛의 아래 활대; 크레인 및 데릭에 부착되지 않은 선박용 붐","Includes Masts; Kingposts; Sail Booms; Shipborne Booms not attached to Cranes and Derricks.","태클 블록","Excludes Tackle Blocks."
"2030","A","갑판기계","Deck Machinery","","","조타장치, 보트 매다는 기둥","Includes Steering Gears and Controls; Boat Davits.","",""
"2040","A","함선용 기재 및 선체품목","Marine Hardware and Hull Items","","","닻; 네 갈고리 닻; 띄우는 닻; 방수문; 선박 통풍장치; 해치; 맨홀; 작은 승강구; 공기창; 방현재(防舷材); 사물함; 갑판의 배수구; 키; 선미 튜브; 체인 파이프; 이물 파이프; 보일러 연도(煙道) 및 굴뚝; 초크; 돛대 및 활대 부속류; 노(櫓); 짧고 폭 넓은 노(櫓); 노걸이 [註] ⓐ방현재:배가 부두에 닿을 때나 다른 배와 스칠 때 일어나는 충격을 줄이기 위하여 장치한 물건","Includes Anchors; Grapnels; Sea Anchors; Watertight Doors; Ship Ventilators; Hatches; Manholes; Scuttles; Air Ports; Fenders; Sea Chests; Scuppers; Rudders; Stern Tubes; Chain Pipes; Hawse Pipes; Boiler Uptakes and Stacks; Chocks; Mast and Boom Fittings; Oars; Paddles; Oarlocks.","",""
"2050","A","부표(浮標) ","Buoys","","","","","",""
"2060","A","상업용 어업장비","Commercial Fishing Equipment","","","","","어선","Excludes Fishing Vessels."
"2090","A","기타 함정 및 해상용 장비","Miscellaneous Ship and Marine Equipment","","","돛, 체인 사닥다리, 로프 사닥다리, 해상용 비품","Includes Sails; Chain Ladders; Rope Ladders; Marine Furniture.","",""
"2100","A","역사적 FSG","Historical FSG","참고 - FSG는 파일 유지관리 목적으로만 복원됩니다. 이 FSG에는 새 항목을 추가할 수 없습니다.","Note-FSG reinstated for file maintenance purposes only. No new items may be added to this FSG.","","","",""
"2190","A","역사적 FSC","Historical FSC","참고 - FSC는 파일 유지관리 목적으로만 복원됩니다. 이 FSC에는 새 항목을 추가할 수 없습니다.","Note-This FSC reinstated for file maintenance purposes only. No new items may be added to this FSC.","","","",""
"2200","A","철도장비","Railway Equipment","","","","","",""
"2210","A","기관차","Locomotives","이 군급은 완전한 기관차와 탄수차(炭水車)만을 포함한다. 기관차 및 탄수차에 사용되는 완제품, 조립품, 부분품, 부속품 및 부수품은 이 군급 이외의 다른 군급에 분류한다  [註]  ⓐ기관차:객차나 화차 따위를 끌고 달리는데 사용되는 동력장치를 갖춘 철도차량","Note-This class includes only complete locomotives and tenders. End items, assemblies, parts, attachments, or accessories for use in or on locomotives and tenders are classified in classes other than this class.","","","자체 추진력이 있는 차량","Excludes Self-Propelled Cars."
"2220","A","철도차량","Rail Cars","이 군급은 완전한 철도차량만을 포함한다. 철도차량용 완제품, 조립품, 부분품, 부속품 또는 부수품은 이 군급 이외의 군급에 분류한다.","Note-This class includes only complete rail cars. End items, assemblies, parts, attachments, or accessories for use in or on rail cars are classified in classes other than this class.","견인되는 차량; 자체 추진력이 있는 차량","Includes Trailed Cars; Self-Propelled Cars.","케이블카","Excludes Aerial Tramway Cars."
"2230","A","철로 부지 건설 및 유지장비","Right-of-Way Construction and Maintenance Equipment, Railroad","","","철로 설치, 연결 및 이동장비; 자체 추진력이 있는 차량 및 크레인이 설치된 차량","Includes Rail Laying, Joining and Shifting Equipment; Self-propelled and Car Mounted Cranes.","수공구(그룹 51)","Excludes Hand Tools (FSG 51)."
"2240","A","기관차·철도차량 부속품 및 구성품","Locomotive and Rail Car Accessories and Components","","","브레이크 빔 및 구성품; 커플러; 무개차(無蓋車) 및 구성품; 저널 및 구성품; 바퀴 세트 및 구성품 [註] ⓐ저널:전동축(傳動軸)에 있어서 베어링 속에 들어있는 부분","Includes Brake Beams and Components; Couplers; Trucks and Components; Journals and Components; Wheel Sets and Components.","철로용 비품(그룹 71 ""비품"")","Excludes Railroad Furniture (FSG 71)."
"2250","A","철로 자재","Track Material, Railroad","","","철로용 레일; 침목판; 철로용 대피선 및 구성품; 철로용 못","Includes Railroad Rails; Railroad Tie Plates; Railroad Turnouts and Components; Railroad Spikes.","밸러스트(군급 5610 ""비포장 광물성 건설자재""), 침목(군급 5510 ""재목 및 관련목재"") [註] ⓐ밸러스트:철로의 노반과 침목 간에 있는 자갈, 쇄석(碎石)","Excludes Ballast (FSC 5610); Railroad Ties (FSC 5510)."
"2300","A","지면효과 차량,자동차,트레일러 및 사이클","Ground Effect Vehicles, Motor Vehicles, Trailers, and Cycles","","","","","",""
"2305","A","지면효과(地面效果) 차량 [註] ⓐ지면효과차량:호버크래프트와 같이 압축공기를 뿜어내어 지표와 차량사이에 에어쿠션을 만들어 지표에 닿을 정도로 가깝게 주행하는 차량","Ground Effect Vehicles","","","","","",""
"2310","A","여객 자동차","Passenger Motor Vehicles","이 군급은 완전한 여객용 자동차 및 그를 위한 섀시를 포함한다. 여객용 자동차에 사용되는 완제품, 조립체, 부분품, 부속품 또는 부수품으로서 완전한 섀시 이외의 것은 이 군급 이외의 다른 군급에 분류한다","Note-This class includes only complete passenger motor vehicles, and chassic therefor. Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on passenger motor vehicles are classified in classes other than this class.","자동차; 버스; 여객 자동차 섀시; 영구차; 구급차","Includes Cars, Motor, Highway; Busses; Chassis, Passenger Motor Vehicle; Hearses; Ambulances.","수륙양용 병력운반차; 모든 종류의 트럭 섀시","Excludes Amphibious Personnel Carriers; All Truck Chassis; Mine Resistant Ambush Protected Vehicles (2355)."
"2320","A","바퀴식 트럭 및 트럭 트랙터","Trucks and Truck Tractors, Wheeled","이 군급에는 완전한 트럭, 트럭트랙터 및 그를 위한 섀시를 포함한다. 트럭 또는 트럭트랙터에 사용되는 완제품, 조립체, 부분품, 부속품 또는 부수품으로서 완전한 섀시 이외의 것은 이 군급 이외의 다른 군급에 분류한다. 기계수리차, 이동용 세탁차 또는 치과차등 특수 트럭의 섀시 및 보디의 복합체는 이 군급에 분류한다. 장비를 갖춘 기계수리차처럼 섀시, 보디 및 추가 장비품이 완비된 완전한 이동용차는 이 군급에서 제외한다","Note-This class includes only complete wheel mounted trucks and truck tractors, and chassis therefor. Any end items, assemblies, parts, attachments, or accessories other than complete chassis, for use in or on such trucks or truck tractors are classified in classes other than this class. The combined chassis and body of a special purpose truck, such as a machine shop, mobile laundry, or dental laboratory, is classified in this class. The complete mobile unit, consisting of chassis, body, and additional equipment, as in an equipped truck mounted machine shop, is excluded from this class.","패널, 딜리버 및 픽업 트럭, 수륙양용차에 설치된 바퀴를 포함한 전술 및 행정용 군 화물차; 트럭트랙터 및 트레일러의 복합체; 장갑차","Includes Panel, Delivery and Pick Up Trucks, Military Cargo Carrying Vehicles, including Wheel Mounted Amphibian Vehicles; Truck Tractors and Trailer Combinations.","소방차; 특수 건설형 토양 및 암석운반 트럭; 동력식 공기 압추기; 동력식 콘크리트 혼합기; 일반적인 공사용 전문기계; 비행장, 격납고 및 창고 내부에서 사용되는 특수트럭; 궤도 및 반궤도식 차량","Excludes Fire Trucks; Special Construction Type Earth and Rock Hauling Trucks; Motorized Air Compressors; Motorized Concrete Mixers; Construction Specialized Machinery Generally; Specially designed trucks for use in and around airfields, hangers, and warehouses; Vehicles specifically designed and/or modified for combat, assault, and tactical situations. Tracked and Halftracked Vehicles. Wheeled Self-Propelled Combat, Assault, and Tactical Vehicles with or without amphibian capabilities; Armored Wheeled Vehicles; Mine Resistant Ambush Protected Vehicles (2355); Self-Propelled Wheeled Sleds; and Self-Propelled Wheeled Flame Throwers."
"2330","A","트레일러","Trailers","이 군급은 완전한 트레일러 및 그를 위한 섀시만을 포함한다. 트레일러에 사용되는 완제품, 조립체, 부분품, 부속품 또는 부수품으로서 완전한 섀시 이외의 것은 이 군급 이외의 다른 군급에 분류한다. 기계수리공장, 이동 세탁소 및 치과 실험실과 같은 특수트레일러의 섀시 및 보디의 복합체는 이 군급에 분류한다. 완전히 장비를 갖춘 기계수리 트레일러와 같이 섀시, 보디 및 추가장비가 구비된 완전한 이동식 트레일러는 이 군급에서 제외한다","Note-This class includes only complete trailers, and chassis therefor. Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on trailers are classified in classes other than this class. The combined chassis and body of a special purpose trailer, such as a machine shop, mobile laundry, or dental laboratory, is classified in this class. The complete mobile unit, consisting of chassis, body, and additional equipment, as in an equipped trailermounted machine shop, is excluded from this class.","세미트레일러; 세미트레일러 돌리; 화물트레일러; 승객 및 주택용 트레일러; 탄약과 같은 특수목적용 트레일러 [註] ⓐ세미트레일러:트레일러의 일종으로, 뒷바퀴만 있고 앞부분은 회전대에 의해 트럭 트랙터와 연결","Includes Semitrailers; Semitrailer Dollies; Cargo Trailers; Passenger and House Trailers; Special Purpose Trailers, such as Ammunition.","소방트레일러; 비행장 격납고 및 창고 내부 및 주변에서 사용되는 특수트레일러","Excludes Fire Fighting Trailers; Specially designed trailers for use in and around airfields, hangers, and warehouses."
"2340","A","오토바이,모터 스쿠터 및 자전거","Motorcycles, Motor Scooters, and Bicycles","이 군급은 완전한 오토바이, 모터 스쿠터 및 자전거만을 포함한다. 오토바이, 모터 스쿠터 및 자전거에 사용되는 완제품, 조립체, 부분품, 부속품 또는 부수품은 이 군급 이외의 군급에 분류한다","Note-This class includes only complete motorcycles, complete motor scooters, and complete bicycles. End items, assemblies, parts, attachments, or accessories for use in or on motorcycles, motor scooters, or bicycles are classified in classes other than this class.","사이드카; 세발 자전거","Includes Sidecars; Tricycles.","아동용 바퀴달린 제품","Excludes Children's Wheeled Goods."
"2350","A","궤도식 전투,공격 및 전술용 차량","Combat, Assault, and Tactical Vehicles, Tracked","이 군급은 모든 전투, 공격 및 궤도 전술용 차량과 그를 위한 섀시만을 포함한다. 즉, 이와같은 차량 사용 용도에 있어 완전한 섀시 이외의 완제품, 조립체, 부분품, 부속품 또는 부수품은 이 군급 이외의 다른 군급에 분류한다","Note-This class includes only complete combat, assault, and tactical tracked vehicles, and chassis. Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on such vehicles are classified in classes other than this class.","탱크 및 수륙양용 유무에 관계없는 궤도식 자주화기 및 차량, 무한궤도식 장갑차, 자주식 썰매, 자주식 화염방사기","Includes Tanks and Tracked Self-Propelled Weapons and Vehicles with or without amphibian capabilities; Armored Halftracks; Self-Propelled Sleds; and Self-Propelled Flame Throwers.","바퀴가 장착된 차량","Excludes Wheel Mounted Vehicles."
"2355","A","바퀴식 전투,공격 및 전술용 차량","Combat, Assault, and Tactical Vehicles, Wheeled","이 군급은 완전한 전투, 공격 및 바퀴달린 전술차량과 섀시를 포함한다. 이러한 차량에 사용되는 완제품, 조립체, 부분품, 부속품 또는 부수품으로써 완전한 섀시 이외의 것은 이 군급 이외의 다른 군급에 분류한다.","Note: This class includes only complete combat, assault, and tactical wheeled vehicles and chassis. Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on such vehicles are classified in classes other than this class.","전투차량을 갖고 있거나 수륙양용 능력이 없는 자주식 차륜 무기. 장갑차; 자체 추진식 썰매; 자체추진 화염방사기.","Includes: Wheeled Self-Propelled Weapons and combat vehicles with or without amphibian capabilities; Armored Wheeled Vehicles; Mine Resistant Ambush Protected Vehicles; Self-Propelled Wheeled Sleds; and Self-Propelled Wheeled Flame Throwers.","트랙 설치 차량; 전투, 공격, 전술상황을 위해 특별히 디자인 되지 않은 차량; 여객자동차(군급 2310)","Excludes: Track Mounted Vehicles; Vehicles not specifically designed for combat, assault, tactical situations; Passenger Motor Vehicles (FSC 2310)"
"2360","A","무인 지상 차량","Unmanned Ground Vehicles","","NOTE: This class includes only complete unmanned ground vehicles and chassis. Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on such vehicles, are classified in classes other than 2360.","","Includes: Tracked and wheeled unmanned ground vehicles with or without amphibian capabilities; other unmanned systems propelled by other means that operate on the ground; applique systems installed on conventional manned vehicles which enables them to be operated remotely or autonomously.","","Excludes: Aerial systems and watercraft"
"2400","A","트랙터","Tractors","이 군급은 완전한 트랙터 및 트랙터 섀시만을 포함한다. 조립체, 보조조립체, 부분품, 부속품, 부수품은 이 군급에서 제외한다","Note-This group includes only complete tractors and tractor chassis. Assemblies, subassemblies, parts, attachments or accessories are excluded from this group.","","","",""
"2410","A","저속 무한궤도 트랙터","Tractor, Full Tracked, Low Speed","이 군급은 완전한 저속 무한궤도 트랙터 및 섀시만을 포함한다. 저속 무한궤도 트랙터에 사용되는 완전한 섀시 이외의 완제품, 조립체, 부분품, 부속품 또는 부수품은 이 군급 이외의 군급에 분류한다","Note-This class includes only complete low speed, full track tractors, and chassis. Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on low speed, full track tractors, are classified in classes other than this class.","","","고속 트랙터(군급 2430 ""고속 무한궤도 트랙터""); 장갑 도저-스크레이퍼 복합 트랙터(군급 2350""궤도식 전투, 공격 및 전술용 차량"")","Excludes High Speed Tractors (FSC 2430); Armored Dozer-Scrapper Combination Tractors (FSC 2350)."
"2420","A","바퀴식 트랙터","Tractors, Wheeled","이 군급은 완전한 바퀴식 트랙터 및 섀시만을 포함한다. 바퀴식 트랙터에 사용되는 완전한 섀시 이외의 완제품, 조립체, 부분품, 부속품 또는 부수품은 이 군급 이외의 다른 군급에 분류한다","Note-This class includes only complete wheeled tractors, and chassis. Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on wheeled tractors, are classified in classes other than this class.","농업용 트랙터; 고속 트랙터; 산업용 트랙터","Includes Agricultural Tractors; High Speed Tractors; Industrial Tractors.","항공기 견인 트랙터 및 불시착 항공기 이동 트랙터(군급 1740""비행장용  특수 트럭 및 트레일러""); 항공기 견인 파워 정비 트랙터(군급 1730""항공기 지상지원장비""); 창고용 트랙터(군급 3930""자주식 창고용 트럭 및 트레일러"")","Excludes Aircraft Towing Tractors and Crashed Aircraft Moving Tractors (FSC 1740); Aircraft Towing-Power Servicing Tractors (FSC 1730); Warehouse Tractors (FSC 3930)."
"2430","A","고속 무한궤도 트랙터","Tractors, Full Tracked, High Speed","이 군급은 완전한 고속 궤도가 장착된 트랙터 및 섀시만을 포함한다. 고속 궤도가 장착된 트랙터에 사용되는 완전한 섀시 이외의 완제품, 조립체, 부분품, 부속품 또는 부수품은 이 군급 이외의 다른 군급에 분류한다","Note-This class includes only complete high speed track laying tractors, and chassis. Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on high speed track laying tractors, are classified in classes other than this class.","","","저속 트랙터(군급 2410""저속 무한궤도 트랙터""); 장갑 도저-스크레이퍼 복합 트랙터(군급 2350""궤도식 전투, 공격 및 전술용 차량"")","Excludes Low Speed Tractor (FSC 2410); Armored Dozer-Scraper Combination Tractors (FSC 2350)."
"2500","A","차량장비 구성품","Vehicular Equipment Components","그룹 25 ""차량장비 구성품""에 한정된 ""차량"" 이라는 용어는 그룹 23 ""지면효과 차량, 자동차, 트레일러 및 사이클"" 및 그룹 24 ""트랙터""에 포함된 차량 및 트랙터에, 그룹 38 ""건설, 채광, 굴착 및 도로보수장비""에 포함되는 건설차량, 그룹 39 ""물자취급장비""에 포함되는 창고용 트럭, 트랙터 및 트레일러에 한정되며, 철도차량(그룹 22), 항공기(그룹 22 ""항공기 및 항공기 기체구성품"" 및 선박(그룹 19 ""함선, 소형선, 폰툰, 부선거""에는 적용되지 않는다. 위에 한정된 범위내의 ""차량"" 구성품으로서 보급품은 이 그룹에서 한정하는 차량 이외의  차량에 부가적으로 사용할 수 있는 것이라도 이 그룹에 분류한다","Note-The term ""vehicular"" as delimited for group 25, is applicable to those vehicles and tractors included in groups 23 and 24, construction vehicles included in group 38, and warehouse trucks, tractors, and trailers included in group 39. It does not apply to railway vehicles (group 22), aircraft (group 15), or watercraft (group 19). An item of supply which is a ""vehicular"" component, within the scope delimited above, is classified in this group regardless of whether it has additional applications on vehicles outside the delimitations for this group.","","","",""
"2510","A","차량용캡,보디 및 프레임 구조 구성품","Vehicular Cab, Body, and Frame Structural Components","","","잎모양 차량 스프링; 서스펜션형 완충장치","Includes Leaf Type Vehicular Springs; Suspension Type Shock Absorbers.","차량용 철물(그룹 53 ""철물 및 연마제""); 특수 차량 비품(군급 2540 ""차량용 비품 및 부수품"")","Excludes Vehicular Hardware (FSG 53); Specialized Vehicular Furniture (FSC 2540)."
"2520","A","차량 동력전달 구성품","Vehicular Power Transmission Components","","","트랜스퍼 트랜스미션 조립체; 클러치 조립체; 유니버셜조인트; 프로펠러 샤프트; 자동차 토크 컨버터; 파워 테이크오프 [註] ⓐ토크 컨버터:토크를 변환하여 동력을 전달하는 장치로서 자동차에 응용하면 변속기어가 필요없게 되며 시동시의 회전력도 크다 ⓑ파워 테이크오프:롤 피드, 트랜스퍼 유닛, 그리퍼 피드, 푸셔 피드 등 프레스 이송장치의 구동원으로서 프레스의 동력을 이용하는 경우에 그 동력을 꺼내기 위한 출력축을 말한다","Includes Transfer Transmission Assemblies; Clutch Assemblies; Universal Joints; Propeller Shafts; Automotive Torque Converters; Power Takeoffs.","",""
"2530","A","차량용 브레이크,스티어링,액슬,휠 및 트랙 구성품","Vehicular Brake, Steering, Axle, Wheel, and Track Components","","","포탑 브레이크; 탱크 포탑 클러치 브레이크","Includes Turrent Brakes; Clutch Brakes, Tank Turret.","",""
"2540","A","차량용 비품 및 부속품","Vehicular Furniture and Accessories","","","자동차의 좌석커버; 완충기; 범퍼; 자동차 앞의 유리닦개; 범퍼 가드; 백미러 및 사이드미러; 차량 히터","Includes Automobile Seat Covers; Shock Absorbers; Bumpers; Windshield Wipers; Bumper Guards; Mirrors, Rear View and Side View; Vehicle Heaters.","속도계(군급 6680""액체 및 기체의 흐름, 액체의 수준 및 기계적 운동을 측정하는 기구""), 서스펜션형 완충장치(군급 2510""차량용 캡, 보디 및 프레임 구조 구성품"")","Excludes Speedometers (FSC 6680); Suspension Type Shock Absorbers (FSC 2510)."
"2541","A","무기체계 특수차량 부속품","Weapons Systems Specific Vehicular Accessories","","","탱크, 병력 수송차, 이동형 곡사포류와 같은 무기체계형 차량의 개조 및 수선에 사용되는 부수품 키트 및 박스, 부분품 키트 및 개별 구성품","Includes: Accessory Kits and Boxes, Parts Kits, and individual components used in the repair and/or modification of Weapons System type Vehicles such as Tanks, Personnel Carriers, Mobile Howitzers, and the like.","상용차량의 개조 및/또는 수리에 사용되는 품목(군급 2540""차량용 비품 및 부수품""), 차량형 전등 설비(군급 6220""차량 전등 및 설비"") 및 전자스위치, 부분품 키트 및 개조키트(군 59""전기 및 전자장비 구성품"")","Excludes: Items used in the repair and/or modifications of Commercial Type Vehicles (FSC 2540), vehicular type light fixtures (FSC 6220), and electronic switches, parts kits, and modification kits (FSG 59)."
"2590","A","기타 차량 구성품","Miscellaneous Vehicular Components","","","탱크, 자주무기 및 고속 트랙터용 부속품 및 트랙터에 장착하도록 특별히 설계된 에이자형 틀 및 윈치, 구난차용 크레인 및 크레인 붐","Includes Attachments for Tanks, Self-propelled Weapons, and High Speed Tractors; A-frames and Winches specifically designed for truck mounting; Cranes and Crane Booms for Wrecker Trucks.","",""
"2600","A","타이어 및 튜브","Tires and Tubes","","","","","",""
"2610","A","비항공기용 공기 타이어 및  튜브","Tires and Tubes, Pneumatic, Except Aircraft","","","","","항공기용 공기타이어 및 튜브","Excludes Aircraft Pneumatic Tires and Tubes."
"2620","A","항공기용 공기 타이어 및 튜브","Tires and Tubes, Pneumatic, Aircraft","","","","","",""
"2630","A","쿠션 및 통타이어 [註] ⓐ쿠션타이어:고무조각을 넣은 자전거 타이어 ⓑ통타이어:공기가 들어있지 않으며 고무만의 탄력을 이용하는 타이어","Tires, Solid and Cushion","","","고무궤도부설 바퀴차축","Includes Rubber Track Laying Treads.",".",""
"2640","A","타이어 재생 및 타이어·튜브 수리기재","Tire Rebuilding and Tire and Tube Repair Materials","","","바퀴차축고무; 저온첩포; 마찰코드 직물; 가황첩포; 덧받침대; 급속가황고무; 타이어 및 튜브수리키트; 재생고무; 밸브; 밸브 코어","Includes Tread Gum; Cold Patches; Friction Cord Fabric; Vulcanizing Patches; Padding Stock; Quick-Cure Gum; Tire and Tube Repair Kits; Camelback; Valves; Valve Cores.","가황기계장치 및 장비","Excludes Vulcanizing Machinery and Equipment."
"2800","A","엔진,터빈 및 구성품","Engines, Turbines, and Components","","",".","",".",""
"2805","A","비항공기용 가솔린 왕복엔진 및 구성품","Gasoline Reciprocating Engines, Except Aircraft; and Components","","","가스 왕복기관; 항공기 원동기를 제외한 모든 가솔린 왕복기관","Includes Gas Reciprocating Engines; All Gasoline Reciprocating Engines except Aircraft Prime Moving.","엔진 부수품(군급 2990""비항공기용 기타 엔진 부수품"")","Excludes Engine Accessories (FSC 2990)."
"2810","A","항공기용 가솔린 왕복엔진 및 구성품","Gasoline Reciprocating Engines, Aircraft Prime Mover; and Components","이 군급에 분류되는 엔진 및 구성품은 항공기 원동기용으로 특수하게 설계되어야 한다. 보조엔진 및 그 구성품은 군 28 ""엔진, 터빈 및 구성품""의 적절한 군급에 분류될 것이다","Note-Engines and components classified in this FSC must be desinged specifically for use as/on an aircraft prime mover. Auxiliary engines and their components will be classified in the appropriate FSC elsewhere in FSG 28.","완전한 엔진조립체; 피스톤 링; 실린더; 피스톤; 캠 축; 크랭크축 [주] ⓐ피스톤 링:피스톤 홈에 끼워져 피스톤과 실린더 내벽 사이의 기밀(氣密)을 유지하고 또 실린더 벽의 윤활유를 긁어내려 윤활유가 연소실로 들어가지 않도록 피스톤 바깥둘레의 홈에 끼우는 한쌍의 링 ⓑ캠 축:캠을 고정하는 축 ⓒ크랭크축:왕복운동을 회전운동으로 바꾸는 장치로서 크랭크, 크랭크 암, 크랭크 핀으로 구성된다","Includes Complete Engine Assemblies; Piston Rings; Cylinders; Pistons; Camshafts; Crankshafts.","연료계통 구성품(기화기, 기화기 플로트, 연료펌프, 연료 조절장치, 연료밸브) (군급 2915 ""항공기 및 미사일 원동기 엔진 연료계통 구성품""), 전기계통 구성품(점화플러그 어댑터, 점화 배분기, 점화코일, 전기 스타터) (군급 2925 ""항공기용 엔진 전기계통 구성품""), 엔진 냉각계통 구성품(엔진오일 냉각장치, 냉각용 방열기) (군급 2935 ""항공기용 엔진 냉각계통 구성품""), 엔진 에어/오일 클리너/ 필터/ 여과기 (군급 2945 ""항공기 엔진용 에어 및 오일필터, 클리너""), 기타 엔진 부수품(공기 스타터, 발동기 커버판, 제어장치 조립체) (군급 2995 ""기타 항공기용 엔진 부수품"")","Excludes Fuel System Components (Carburetors; Carburetor Floats; Fuel Pumps; Fuel Controls; Fuel Valves) (FSC 2915); Electrical System Components (Spark Plug Adapters; Ignition Distributors; Ignition Coils, Electrical Starters) (FSC 2925); Engine Cooling System Components (Engine Oil Coolers; Cooling Radiators) (FSC 2935); Engine Air/Oil Cleaners/Filters/Strainers (FSC 2945); Miscellaneous Engine Accessories (Pneumatic Starters, Cowling Mounts, Control Assemblies) (FSC 2995)."
"2815","A","디젤엔진 및 구성품","Diesel Engines and Components","","","자동차, 산업, 선박, 기관차 및 각종 디젤 및 반-디젤엔진","Includes Automotive, Industrial, Marine, Locomotive, and all other types of Diesel and Semi-Diesel Engines.","엔진 부수품(군급 2990""비항공기용 기타 엔진 부수품"")","Excludes Engines Accessories (FSC 2990)."
"2820","A","왕복식 증기엔진 및 구성품","Steam Engines, Reciprocating; and Components","","","","","",""
"2825","A","증기터빈 및 구성품","Steam Turbines and Components","","","수은 증기 터빈","Includes Mercury Vapor Turbines.","",""
"2830","A","수력터빈,수차(水車) 및 구성품","Water Turbines and Water Wheels; and Components","","","","","",""
"2835","A","비항공기 원동기·항공기 비원동기용 가스터빈,제트엔진 및 구성품","Gas Turbines and Jet Engines; Non-Aircraft Prime Mover, Aircraft Non-Prime Mover, and Components","이 군급에 분류되는 엔진 및 구성품은 주로 비항공기 원동기(예를들면 해군함용), 항공기 비원동기(예를들면 기체에 장착된 보조전원장치) 및 항공기 지상지원장비(예를들면 스타트 카트)에 우선적으로 사용한다","Note-Engines and Components classified in this FSC are primarily for use on non-aircraft prime mover (e.g., Naval ship applications), aircraft non-prime mover (e.g., airframe mounted auxiliary power units), and for aircraft ground support equipment (e.g., start carts).","기류 디플렉터; 연소실, 컴프레서, 터빈, 부수적 기어박스 및 그 구성품","Includes Airflow Deflectors; Combustion Chambers, Compressors, Turbines, Accessory Gear Boxes and their Components.","항공기 원동기 가스터빈 및 제트엔진용 구성품(군급 2840); 엔진 연료계통(군급 2910 ""비항공기용 엔진 연료계통 구성품""), 엔진 전기계통(군급 2920 ""비항공기용 엔진 전기계통 구성품""), 엔진 냉각계통(군급 2930 ""비항공기용 엔진 냉각계통 구성품""), 엔진 에어/오일 클리너/필터/여과기(군급 2940 ""비항공기용 공기 및 오일필터, 여과기, 클리너""), 엔진 부수품(에어덕트 히터, 엔진에 장착된 제어장치 조립체) (군급 2990 ""비항공기용 기타 엔진 부수품"")","Excludes Components for Gas Turbines and Jet Engines, Aircraft Prime Mover (FSC 2840); Engine Fuel Systems (FSC 2910); Engine Electrical Systems (FSC 2920); Engine Cooling Systems (FSC 2930); Engine Air/Oil Cleaners/Filters/Strainers (FSC 2940); Engine Accessories (Air Duct Heaters, Engine Mounted Control Assemblies) (FSC 2990)."
