,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 
7510,126,SCQ0060,1,5962,***,이발가위 등 10종 구매,물품,SCQ,제9911부대,2016-03-21 10:30,E13ED,도원정보시스템 주식회사,DOWON INFORMATION SYSTEM,김종호,313867907,031-386-7907,경기도 안양시 동안구 흥안대로445(평촌동) 제6층 615호 안양평촌동지식산업센터,88.0152,"9,049,527"
7512,82,SCF0052,1,5917,***,시일링 콤파운드 등 5종,물품,SCF,해군군수사령부,2016-03-21 10:30,F3E58,신동하이텍,shindonghitec,이동열,055-251-0253,055-251-0253,경상남도 창원시 마산회원구 봉암공단2길22-5 (봉암동),98.5278,"11,766,000"
7515,13,SCN0055,1,6052,***,DVD플레이어 5대,물품,SCN,제7001부대,2016-03-21 10:30,H3767,라온상사,raon company,양희정,010-9114-4270,010-9114-4270,경상남도 창원시 진해구 충장로329번길31 (경화동),90.6372,"1,111,100"
7516,12,SCN0052,1,6048,***,관류용 멸균 증류수 등 80종,물품,SCN,제7001부대,2016-03-21 10:30,H0DEF,주식회사 케이에스팜,kspharm,이금상,425845010,042-584-5010,"충청남도 청양군 청양읍 칠갑산로148-0 , 4층",88.6771,"33,026,400"
7518,9,SCL0013,2,4984,***,하체근력강화용 자전거 2종 구매,물품,SCL,해군사관학교,2016-03-21 10:30,G805B,주식회사 제일휘트니스,jeil fitness co.,이정금,325798912,032-579-8912,인천광역시 미추홀구 염전로165번길56-0 (도화동),88.0791,"5,369,880"
7519,133,MDR0016,1,5516,***,전기다리미 등 10종 납품,물품,MDR,제9965부대,2016-03-21 10:30,G8E7D,휘모리,Hymori,김범헌,7042596522,070-4259-6522,"광주광역시 서구 염화로31번길23, 101동 413호(화정동, 우미아파트)",87.9974,"11,115,875"
7523,2,LCF0054,1,5255,***,전자저울(150Kg) 등 4항목 구매(물자),물품,LCF,육군군수사령부,2016-03-18 14:30,BF2E5,대현싸이언스(주),daehyunscience,이대영,02-766-2981,02-766-2981,"서울특별시 종로구 돈화문로11가길 59, 현대뜨레비앙 306(익선동)",89.588,"5,929,000"
7525,110,SCF0016,1,5730,***,1단 FEED ASSY 등 13건,물품,SCF,해군군수사령부,2016-03-18 14:30,GB947,드림테크,dreamtech,구옥수,055-552-9789,055-552-9789,경상남도 창원시 진해구 용원중로5번길6-22 (용원동),88.0064,"32,933,700"
7526,130,SCF0014,1,5731,***,후물용 본봉미싱부속 셋트 등 29종,물품,SCF,해군군수사령부,2016-03-18 14:30,GDC4D,에이스산업,Ace,이해규,055-545-5414,055-545-5414,"경상남도 창원시 진해구 안청북로42,상가동 201-2호(용원동,녹산현대아파트)",88.0271,"7,501,680"
7527,56,LCF0055,1,5260,***,"덧양말,방한용 등 6항목 구매(물자)",물품,LCF,육군군수사령부,2016-03-18 14:30,GD9DB,성진상사,SUNGJIN CO,최은자,02-437-1388,02-437-1388,서울특별시 중랑구 상봉로80-0 (망우동) 4층,88.0102,"10,768,800"
7530,17,LDH0177,1,5310,***,공마대등4종구매,물품,LDH,육군종합정비창,2016-03-18 11:30,GEC51,초코인터내셔널 주식회사,"choko international co.,ltd",고찬갑,315290842,031-529-0842,경기도 남양주시 별내면 용암비루개길140-0,88.0857,"8,168,200"
7531,7,LDH0176,1,5305,***,평면연마용숫돌등38종구매,물품,LDH,육군종합정비창,2016-03-18 11:30,F2AA2,서화테크,seohwatech,조미숙,02-943-6346,02-943-6346,서울특별시 성북구 북악산로 713(정릉동) 산장빌라7-304지하,88.2228,"19,649,830"
7532,5,LDH0175,1,5300,***,플라스틱마개등94종구매,물품,LDH,육군종합정비창,2016-03-18 11:30,BA097,진흥기계공업,j81330@naver.com,박영진,055-237-4954,055-237-4954,경상남도 창원시 의창구 도계로 48(),97.3752,"34,200,000"
7533,12,LDH0173,1,5295,***,인서트팁등340종구매,물품,LDH,육군종합정비창,2016-03-18 11:30,CD221,네오종합상사,neo general company,옥인교,031-433-0937,031-433-0937,경기도 시흥시 오이도8길17-0 (정왕동),88.0693,"66,082,840"
7534,15,LDH0172,1,5293,***,연마포등29종구매,물품,LDH,육군종합정비창,2016-03-18 11:30,FE224,주식회사 세운하이테크,"SEWOON HIGHTECH CO., LTD",윤기태,055-607-0699,055-607-0699,경상남도 창원시 성산구 월림로39번길63-23 (신촌동),88.0386,"72,099,000"
7536,26,HDN0009,1,5836,***,(16-002) 잡석 3품목,물품,HDN,공군제18전투비행단,2016-03-18 11:00,D0D70,주식회사 동해석산,Dong Hae Suksan,엄철용,336711091,033-671-1091,강원특별자치도 양양군 현남면 갓바위2길112-8,90.1016,"14,793,570"
7539,6,HCC0033,1,5717,***,써모스터 등 8품목,물품,HCC,해군제1수리창,2016-03-18 11:00,F9946,금성종합상사,GEUM SUNG JONG HAB SANG SA,김봉기,02-2631-8972,02-2631-8972,강원특별자치도 동해시 동호4길4-0 (발한동),88.0112,"2,772,300"
7541,41,UMM0123,1,5332,***,정비피복(동.하 정비복) 제조납품,물품,UMM,국군재정관리단,2016-03-18 11:00,1884F,주식회사 니나유니폼,ninauniform,김인호,053-424-0644,053-424-0644,대구광역시 수성구 상화로75(상동),88.1585,"991,668,850"
7543,31,UMM0144,1,5276,***,자동세척건조기 중형 구매설치,물품,UMM,국군재정관리단,2016-03-18 11:00,GCDD0,핀텍스코리아,"FinTexKorea co.,LTD",조찬행,010-3191-2618,010-3191-2618,경기도 광명시 광이로12번길8-3 (광명동) 401호,88.0322,"86,902,400"
7547,8,SCG0033,1,5279,***,유아용 수면조끼 550벌,물품,SCG,해군본부,2016-03-18 11:00,H0012,주식회사 만경코리아컴퍼니,"MAN KYUNG COMPANY CO., LTD.",박진우,02-891-3359,02-891-3359,"서울특별시 금천구 벚꽃로12길5 (독산동, 삼보디지털타워 5층)",38.5894,"6,627,623"
7553,63,SCF0081,1,5797,***,대테러복 등 7종,물품,SCF,해군군수사령부,2016-03-18 10:30,2511F,주식회사 세몽나이스,SEMONG NICE CO..LTD,이창구,314672713,031-467-2713,"경기도 안양시 만안구 전파로30, 407호 408호(안양동, 유천팩토피아)",93.8274,"43,579,900"
7556,334,SCF0079,1,5771,***,회중전등 등 2종,물품,SCF,해군군수사령부,2016-03-18 10:30,G4531,전라안전,jeolla safety,최지은,632879122,063-287-9122,전북특별자치도 전주시 덕진구 송천동1가742-1,88.0017,"21,671,400"
7557,158,SCF0078,1,5768,***,날 1종,물품,SCF,해군군수사령부,2016-03-18 10:30,ECF32,세종상사,,노정래,010-9384-8831,010-9384-8831,경상남도 창원시 진해구 여명로52 (여좌동),97.7713,"8,984,000"
7558,158,SCF0077,1,5763,***,콜드파이어 1종,물품,SCF,해군군수사령부,2016-03-18 10:30,G785F,주식회사 지이엠,GEM,정현중,02-555-5016,02-555-5016,서울특별시 금천구 서부샛길606 대성디폴리스 B동 2508호,88.0157,"7,351,988"
7559,306,SCF0076,1,5755,***,청소용 릴호스 1종,물품,SCF,해군군수사령부,2016-03-18 10:30,H2874,금창가구,kum chang,김창희,032-446-7393,032-446-7393,인천광역시 남동구 논현고잔로54번길30-5 (고잔동) 금창가구,88.0019,"8,578,100"
7562,334,SCF0082,1,5828,***,취사가운 등 7종,물품,SCF,해군군수사령부,2016-03-18 10:30,H08BA,조인,join,이정배,7071766295,070-7176-6295,경기도 양주시 옥정로200 (옥정동) 5층 506-71호,88.0001,"26,886,250"
7564,3,SCR0018,1,5741,***,플라이 웨이트 아세이 1종 구매,물품,SCR,해군제3함대사령부,2016-03-18 10:30,B9499,대건상사,DEA GUN.CO,이장현,061-244-8050,061-244-8050,전라남도 목포시 삼학로123번길 24-1(산정동),98.8173,"127,000"
7567,169,SCF0083,1,5840,***,"로프,와이어제 등 4종",물품,SCF,해군군수사령부,2016-03-18 10:30,D7843,성광상사,,성성문,055-222-3409,055-222-3409,경상남도 창원시 마산합포구 산호동2길 19(),88.1878,"11,947,900"
7570,2,SFL0035,1,5558,***,태극기 등 148품목 구매,물품,SFL,제3283부대,2016-03-18 10:30,F03B2,영진상사,Youngjinsangsa,소현배,070-4220-1315,070-4220-1315,경상북도 영주시 안정면 회헌로647번길18-0,77.7332,"8,300,000"
7571,5,LPF0015,1,5759,***,흙먼지 털이기 설치/납품,물품,LPF,제51보병사단,2016-03-17 13:30,CB7E7,(주)기선,kisun,최호열,031-222-8423,031-222-8423,"경기도 화성시 동탄반송1길45 (반송동,1층)",88.8125,"25,523,300"
7582,2,SFL0033,1,5168,***,고성능 전기이발기 구매,물품,SFL,제3283부대,2016-03-17 10:30,E5D61,연천종합물산,연천종합물산,양재석,542810909,054-281-0909,경상북도 포항시 남구 대송면 제내길53번길21-0,85.1086,"4,050,300"
7585,5,LPF0013,1,5542,***,모형진지 구매,물품,LPF,제51보병사단,2016-03-16 13:30,CB7E7,(주)기선,kisun,최호열,031-222-8423,031-222-8423,"경기도 화성시 동탄반송1길45 (반송동,1층)",88.3153,"18,621,380"
7595,683,SCF0074,1,5567,***,"야광X-밴드 2,000EA",물품,SCF,해군군수사령부,2016-03-16 10:30,BD191,(주) 건영패밀리,"Kon Yong Family, Co. Ltd.",허조건,051-334-8006,051-334-8006,부산광역시 강서구 신호산단2로75번길49-0 (신호동),88.0016,"29,220,200"
7596,151,SCF0073,1,5560,***,클램프 등 20종,물품,SCF,해군군수사령부,2016-03-16 10:30,4538F,주식회사영남메탈,"YOUNGNAM METAL CO.,LTD",김상열,553453195,055-345-3195,경상남도 김해시 진례면 진례로74번길 12-3(주) 영남 메탈,89.4794,"18,708,246"
7600,7,SCP0045,1,5502,***,사무용 지우개 등 103종 구매,물품,SCP,제8385부대,2016-03-16 10:30,FA82B,알파동해점,ALPHA DONGHEA,김남희,070-7715-6791,070-7715-6791,강원특별자치도 동해시 청운2길17-5 (쇄운동),88.6165,"3,354,800"
7603,4,SFL0030,1,5054,***,사복탁송용박스 구매,물품,SFL,제3283부대,2016-03-16 10:30,G249C,푸른S&C,PURUN S&C,정교탁,542865004,054-286-5004,경상북도 포항시 남구 연일읍 동문로92-0,83.4239,"9,680,000"
7612,2,EGCE008,1,110,***,브래킷류,물품,EGC,함정계약팀 (구:19.09.16),2016-03-15 15:00,CD9C9,창진ENG(주),CHANG JIN ENG,김경익,553649963,055-364-9963,경상남도 양산시 상북면 석계산단3길59-0,97.2196,"22,500,000"
7614,43,HCF0012,1,4823,***,"빨간마후라 목티형(반팔), 백색 등 3종",물품,HCF,공군군수사령부,2016-03-15 11:00,EDCB7,주식회사 동곡,donggok.co.ltd,김형자,327157185,032-715-7185,"인천광역시 부평구 부평대로313번길84, 2층1호 (청천동)",88.0345,"32,650,061"
7615,13,HDN0005,1,5522,***,(16-010) 부대운영자재 등 5품목,물품,HDN,공군제18전투비행단,2016-03-15 11:00,G409E,대광종합상사,DAGANG JUNGHAB SANGSA,김유람,336539838,033-653-9838,"강원특별자치도 동해시 망상길45, 1동 (망상동)",88.4761,"13,202,000"
7625,28,UMM0116,1,4856,***,이불커버 제조 납품,물품,UMM,국군재정관리단,2016-03-15 11:00,5087F,코데아,a,김경희,1047376431,010-4737-6431,"경기도 하남시 하남대로654번길24-7 (천현동) 가,나동",88.0016,"215,956,000"
7631,2,SDF0027,1,5112,***,손코팅 필름 등 286종,물품,SDF,제5738부대,2016-03-15 11:00,C9F91,드림오피스,,이미숙,054-285-7733,054-285-7733,경상북도 포항시 남구 동해안로 5934(),79.7137,"4,300,000"
7639,146,SCF0028,1,5584,***,"전극,용접용 등 20종",물품,SCF,해군군수사령부,2016-03-15 10:30,ECC72,동우철강(주),dongwoo steel co.,김수근,055-296-7123,055-296-7123,"경상남도 창원시 마산회원구 봉암공단6길75-0 (봉암동, 동우철강)",89.72,"16,424,500"
7642,17,SCH0077,1,5349,***,체인블럭 등 55종,물품,SCH,해군작전사령부,2016-03-15 10:30,F9C7B,구륙전기,KURYUK ELECTRICAL,김원술,518047999,051-804-7999,부산광역시 부산진구 전포동676-29 테크노프라자,88.1138,"2,288,000"
7643,62,SCG0034,1,5338,***,세면타월 등 3종,물품,SCG,해군본부,2016-03-15 10:30,GBF6E,우진통상,WOOJIN,서향숙,042-841-9346,042-841-9346,충청남도 계룡시 엄사면 엄사리비사벌아파트 상가동 207호,88.0103,"2,859,880"
7649,10,SFG0031,1,4917,***,위장 숲녹색 등 6종,물품,SFG,제9181부대,2016-03-15 10:30,G4D1D,무한상사,Moohan Paint,김기찬,031-958-7704,031-958-7704,"경기도 파주시 통일로277-0 (조리읍, 대봉빌딩) 1층",63.021,"49,295,400"
7652,4,SCF0063,1,4969,***,신장 스프링 등 10종,물품,SCF,해군군수사령부,2016-03-15 10:30,C2102,한성,han sung sang sa,김재선,055-545-3365,055-545-3365,경상남도 창원시 진해구 이동572-1,88.2589,"13,987,300"
7655,11,SCF0038,1,4944,***,추적등 등 37종,물품,SCF,해군군수사령부,2016-03-15 10:30,FBD4E,아폴론주식회사,"APOLLON CO.,LTD.",류정의,7075831755,070-7583-1755,"경기도 안양시 동안구 흥안대로415-0 (평촌동), 717호",88.5361,"42,456,000"
7657,2,SCF0054,1,4830,***,전자식 순찰시계 등 2종,물품,SCF,해군군수사령부,2016-03-15 10:30,FBD4E,아폴론주식회사,"APOLLON CO.,LTD.",류정의,7075831755,070-7583-1755,"경기도 안양시 동안구 흥안대로415-0 (평촌동), 717호",88.2856,"23,765,000"
7661,2,LCF0040,2,4018,***,하니컴 골판지 등 6항목 구매(물자),물품,LCF,육군군수사령부,2016-03-14 14:30,FDF62,(주)디에스인프라,DSInfra,조용경,7077666240,070-7766-6240,경기도 평택시 원평로35번길42 (평택동),99.7251,"24,076,500"
7662,27,LCF0053,1,4574,***,"헹굼 첨가제, 접시닦기용(20Kg) 등 2항목 구매(물자)",물품,LCF,육군군수사령부,2016-03-14 14:30,G025C,태광이엔씨,TAEKWANG ENC,이병준,070-4943-2142,070-4943-2142,"인천광역시 서구 보듬6로32-0, 2동 (오류동)",88.1169,"33,449,001"
7663,3,EGCE005,1,80,***,잭박스,물품,EGC,함정계약팀 (구:19.09.16),2016-03-14 14:00,D9C65,三晸하이테크,SAMJEONG HI TECH,이화섭,055-255-5617,055-255-5617,경상남도 창원시 마산회원구 봉암공단6길 66(),88.3416,"28,506,200"
7669,4,SCF0023,1,4743,***,"잉곳,구리 등 3종",물품,SCF,해군군수사령부,2016-03-14 11:00,DFDAF,(주)종로인더스트리,"JONG RO INDUSTRY Co.,Ltd.",노종헌,513271811,051-327-1811,부산광역시 사상구 새벽로 130(),93.7912,"54,540,750"
7672,64,HDL0004,1,5043,***,무전극램프 등 36종,물품,HDL,공군제16전투비행단,2016-03-14 11:00,D90C1,다온종합상사,,김기범,542742581,054-274-2581,경상북도 포항시 남구 효성로88 (효자동) 302-904,88.0109,"39,633,800"
7676,2,SFD0042,1,4600,***,무광알키드 숲녹색등 8종,물품,SFD,제9227부대,2016-03-14 11:00,D78FE,동서화인켐 주식회사,*,이영관,553750010,055-375-0010,경상남도 양산시 상북면 소토3길 8(),88.9793,"23,472,800"
7678,14,SCR0016,1,5239,***,행주 등 77종 구매,물품,SCR,해군제3함대사령부,2016-03-14 10:30,D7A2B,동서종합상사,dongsutile,최흥숙,7077337131,070-7733-7131,전라남도 영암군 군서면 군서공단로60-10,88.2866,"9,117,580"
7680,64,SFG0033,1,5361,***,전기밥솥 등 3종,물품,SFG,제9181부대,2016-03-14 10:30,H2DDF,엔젤,angel,김도현,010-9675-8138,010-9675-8138,경기도 의정부시 신흥로258번길25,88.0258,"8,481,340"
7682,12,SCR0018,1,5436,***,고무발 등 127종 구매,물품,SCR,해군제3함대사령부,2016-03-14 10:30,D7A2B,동서종합상사,dongsutile,최흥숙,7077337131,070-7733-7131,전라남도 영암군 군서면 군서공단로60-10,88.1532,"46,294,390"
7686,33,SCN0045,1,5331,***,수저세트 등 189종,물품,SCN,제7001부대,2016-03-14 10:30,BE96F,흥진상사,hyung jin co ltd,박호진,055-542-5600,055-542-5600,경상남도 창원시 진해구 중원로 45-1(),88.0269,"4,346,100"
7691,30,SCF0068,1,5229,***,UDT 중절모 등 7종,물품,SCF,해군군수사령부,2016-03-14 10:30,0139F,삼진제모(주),"samjin cap co.,ltd.",박인재,02-825-4138,02-825-4138,서울특별시 동작구 상도로62길1 (상도동),88.0332,"20,289,500"
7693,101,SCF0026,1,5214,***,개스킷 등 16종,물품,SCF,해군군수사령부,2016-03-14 10:30,E4B79,가림산업,K.L.CO,정덕희,514182351,051-418-2351,부산광역시 서구 구덕로186번길 15(),88.0028,"25,185,000"
7694,55,SCP0044,1,5198,***,냉장배식대 등 2종 구매,물품,SCP,제8385부대,2016-03-14 10:30,GFDEF,미모,MIMO,정혜숙,033-254-6116,033-254-6116,강원도 춘천시 중앙로88-0 (중앙로2가),88.0023,"3,240,915"
7695,9,SCR0014,1,5166,***,퓨얼쿡 등 5종 구매,물품,SCR,해군제3함대사령부,2016-03-14 10:30,B976C,미래종합상사,,김성우,061-242-4941,061-242-4941,전라남도 목포시 통일대로 48-1(),88.0569,"1,202,000"
7699,78,SCF0047,1,5085,***,"기화기,부구 이용식 등 9종",물품,SCF,해군군수사령부,2016-03-14 10:30,H40B0,주식회사 부영상사,Bu-Young Sang Sa,성윤미,557141117,055-714-1117,"부산광역시 강서구 미음산단로139번길9 (구랑동), 102호",95.256,"16,700,000"
7700,55,SCF0046,1,5084,***,개스킷 등 5종,물품,SCF,해군군수사령부,2016-03-14 10:30,GE214,조강테크,CHOKANGTECH,조재만,517833768,051-783-3768,부산광역시 사상구 가야대로196번길63 1층 (학장동),88.5531,"4,253,500"
7703,84,SCF0042,1,5072,***,공기작동 발브 등 2종,물품,SCF,해군군수사령부,2016-03-14 10:30,F5D78,세종물산,SEJONG C&T,김영석,070-4640-0257,070-4640-0257,세종특별자치시  한누리대로589-0 (도담동) 해피라움7차 104호,88.3631,"15,993,740"
7705,6,HCC0031,1,5040,***,"게이지, 전해질 수위용",물품,HCC,해군제1수리창,2016-03-14 10:30,F3C30,다모아상사,DAMOA,김금삼,033-522-4075,033-522-4075,강원도 동해시 동해대로5041-0 (효가동),88.4283,"1,910,000"
7708,82,SCF0025,1,5027,***,우레탄호스 등 20종,물품,SCF,해군군수사령부,2016-03-14 10:30,FEE59,피앤에스,p&s,성기우,1055013502,010-5501-3502,"경상남도 창원시 성산구 중앙대로37, 519호 -5호(중앙동, 경남오피스텔)",94.9748,"11,188,000"
7709,103,SCF0024,1,5010,***,스웨이징 슬리브 등 6종,물품,SCF,해군군수사령부,2016-03-14 10:30,GE214,조강테크,CHOKANGTECH,조재만,517833768,051-783-3768,부산광역시 사상구 가야대로196번길63 1층 (학장동),88.4368,"18,973,900"
7713,191,UMM0113,1,4705,***,국통 등 2종 구매,물품,UMM,국군재정관리단,2016-03-14 10:30,D4F3F,미성종합체육산업 주식회사,Misungsports,전옥녀,222529191,02-2252-9191,서울특별시 중구 을지로 294(),88.0101,"64,547,940"
7718,2,LCF0051,1,4532,***,치약(100g) 6항목 구매(물자),물품,LCF,육군군수사령부,2016-03-11 14:30,GA0A2,주식회사제이지테크원,JGTECHWON INC,김순례,051-796-0420,051-796-0420,"부산광역시 강서구 유통단지1로41, 104동 112호(대저2동, 부산티플렉스)",96.1694,"18,155,450"
7720,9,LDH0160,1,4320,***,로드셀 등 23종 구매,물품,LDH,육군종합정비창,2016-03-11 11:30,H4435,주식회사 서진컨설팅,seojin consulting,김서영,010-7522-0443,010-7522-0443,"경상남도 창원시 마산회원구 삼호로263-0 , 3층(회성동)",88.0511,"20,276,000"
7726,62,UMM0111,1,4475,***,16-병기 보관가방 등 17종 구매,물품,UMM,국군재정관리단,2016-03-11 11:00,H342A,주식회사 동영상사,Video company,이주열,1074701760,010-7470-1760,"인천광역시 서구 백범로630번길22, 216호,301-2호,308호,308-1호 (가좌동)",83.4699,"575,832,606"
7727,247,UMM0110,1,4474,***,16-스키부츠 등 3종 구매,물품,UMM,국군재정관리단,2016-03-11 11:00,F439F,융성테크,Yuengsungtech,안길선,7078150810,070-7815-0810,"서울특별시 성북구 솔샘로11길19,202 (정릉동)",88.0015,"122,218,700"
7728,273,UMM0109,1,4473,***,16-피탄 고글(헌병용) 등 4종 구매,물품,UMM,국군재정관리단,2016-03-11 11:00,H316D,조니가이드,jony-guide,남은진,010-3917-0992,010-3917-0992,"대구광역시 달서구 학산로47길39, (송현동)",87.997,"66,107,280"
7729,71,UMM0126,1,4464,***,전자동혈압계 등 3종 구매,물품,UMM,국군재정관리단,2016-03-11 11:00,F6424,라바열융합기술,(HOT)LABA,문홍진,031-947-7696,031-947-7696,경기도 파주시 탄현면 필승로506 (301호),88.0371,"135,203,319"
7733,5,HCF0001,1,4290,***,Pin Board 등 88종구매,물품,HCF,공군군수사령부,2016-03-11 10:30,H0136,주식회사 지컴,GCOM,김윤창,415659720,041-565-9720,충청남도 천안시 동남구 풍세면 풍세산단1로43-0,59.2004,"113,100,000"
7735,178,SCF0064,1,4971,***,안전벨트 162EA,물품,SCF,해군군수사령부,2016-03-11 10:30,GA29C,동덕아크릴,dong duk,진경환,518689633,051-868-9633,부산광역시 부산진구 신암로71번길4-0 (범천동),88.0231,"5,567,000"
7736,6,MDQ0009,1,4938,***,` 16-00부대 의무수의사관 임관 호부 제조 납품,물품,MDQ,국군의무학교,2016-03-11 10:30,EBCF7,(주)충무용사촌,choongmu,최희용,031-865-0008,031-865-0008,경기도 안산시 상록구 사사안골2길6 (사사동),89.2701,"10,672,300"
7739,25,SCK0032,1,4847,***,임관사령장 외지 등 26종,물품,SCK,해군교육사령부,2016-03-11 10:30,H1D21,나라통상,Nara trade,서영숙,055-275-4785,055-275-4785,경상남도 창원시 성산구 중앙대로37-0 (중앙동) 경남오피스텔 2층 210호,88.0406,"3,406,870"
7744,226,SCF0059,1,4921,***,"헬멧, 안전용 등 9종",물품,SCF,해군군수사령부,2016-03-11 10:30,D119B,국제안전물산 유한책임회사,kukje safety,조윤영,553872162,055-387-2162,경상남도 양산시 주남로63-0 (주남동),99.1087,"37,038,900"
7747,93,SCF0058,1,4876,***,손질포 1종,물품,SCF,해군군수사령부,2016-03-11 10:30,H40CF,에이스철물건자재주식회사,"DONG JIN CO.,LTD",정성용,513100938,051-310-0938,"부산광역시 사상구 낙동대로910, 씨-301호(감전동)",88.0062,"3,465,400"
7752,264,SCF0056,1,4843,***,부직포 등 1종,물품,SCF,해군군수사령부,2016-03-11 10:30,H1DD1,재창,JAECHANG,송지영,010-3006-2815,010-3006-2815,"경기도 수원시 권선구 매실로61, 202동 411호 (호매실동, 삼익2차아파트)",88.0064,"15,243,970"
7754,30,SCK0031,1,4850,***,마네킨 등 5종,물품,SCK,해군교육사령부,2016-03-11 10:30,H3BCA,자인비,JAINB,최명숙,7047970581,070-4797-0581,경상남도 창원시 성산구 상남로75-0 (상남동)1917호,88.0523,"28,977,560"
7766,6,HCF0002,1,4296,***,카트리지 3종 구매,물품,HCF,공군군수사령부,2016-03-11 10:30,C7648,(주)프로토텍,ProtoTech Inc.,신영문,269594113,02-6959-4113,"서울특별시 금천구 가산디지털1로19, 303호. 707호(가산동, 대륭테크노타운18차)",91.5577,"35,905,485"
7769,4,LPG0008,1,4805,***,00지역 축성도구 및 시설자재 구매,물품,LPG,제5보병사단,2016-03-10 11:00,G9755,국일기업,kook il company,이장호,02-6053-8949,02-6053-8949,경기도 동두천시 평화로3075,88.3186,"18,936,870"
7775,217,SCQ0050,1,4658,***,자폐식입식수전 등 30종 구매,물품,SCQ,제9911부대,2016-03-10 10:30,GD9A4,삼성테크,SamSung.Co,장혜주,031-295-7505,031-295-7505,경기도 화성시 봉담읍 삼천병마로1256-20 (청운마을 신안 인스빌)105-706,88.039,"9,649,970"
7776,6,SDG0009,1,4579,***,페니라민정 등 70종 구매,물품,SDG,제2002부대,2016-03-10 10:30,E1BD4,주식회사 이레팜,jirehpharm,이동현,314273851,031-427-3851,"경기도 안양시 동안구 경수대로604-0 (호계동, 대명빌딩)",88.4275,"14,373,300"
7777,31,SCH0072,1,4694,***,디지털도어록 259개,물품,SCH,해군작전사령부,2016-03-10 10:30,GA29C,동덕아크릴,dong duk,진경환,518689633,051-868-9633,부산광역시 부산진구 신암로71번길4-0 (범천동),88.0466,"16,840,000"
7780,2,SFL0028,1,4357,***,삼중활차 도르레 등 4품목 구매,물품,SFL,제3283부대,2016-03-10 10:30,E5D61,연천종합물산,연천종합물산,양재석,542810909,054-281-0909,경상북도 포항시 남구 대송면 제내길53번길21-0,85.0273,"9,229,000"
7783,9,LPF0011,1,4649,***,예비군부대 일반물자(2차) 구매,물품,LPF,제51보병사단,2016-03-09 13:30,G6D19,JH컴퍼니,JH COMPANY,김정이,010-2484-1254,010-2484-1254,경기도 화성시 새강1길41 (반송동),88.2364,"43,110,260"
7788,5,HCC0029,1,4418,***,알루미늄 합금판 등 8품목,물품,HCC,해군제1수리창,2016-03-09 11:00,C0914,(주)동건,DONG GUN CO.,윤영현,332422612,033-242-2612,강원특별자치도 동해시 전천로245-2 (북평동),81.4078,"12,044,000"
7789,2,SDF0026,1,4380,***,다용도 사물함 등 617종,물품,SDF,제5738부대,2016-03-09 11:00,CA88F,포항케이피엘(KPL),phohang kpl,김순선,054-247-8226,054-247-8226,경상북도 포항시 북구 중앙로245번길 7(),74.8656,"9,405,000"
7792,2,LGP0062,1,4471,***,'16년 화학물자 구매,물품,LGP,제1군수지원사령부,2016-03-09 11:00,BAA55,경원산소(주),kyeong won oxygen co,임정규,337485586,033-748-5586,강원특별자치도 원주시 우산공단길149-0 (우산동),92.5399,"166,190,332"
7796,54,SCP0041,1,4578,***,Adapter Board 등 2종 구매,물품,SCP,제8385부대,2016-03-09 10:30,GEC95,길상산업,gilsangsanyeb,박종호,010-2330-0395,010-2330-0395,경기도 화성시 10용사로456-0,88.0328,"7,301,100"
7806,14,LCF0038,1,3900,***,"스폰지,이발용 등 9항목 구매(물자)",물품,LCF,육군군수사령부,2016-03-08 14:30,H13A7,우솔아이앤씨,WooSol Inc,최경태,02-866-6487,02-866-6487,서울특별시 금천구 남부순환로1314-0 (독산동) 519호 독산아네스트,88.4025,"32,854,260"
7807,8,LCF0039,1,3899,***,이발용 가위 4항목 구매(물자),물품,LCF,육군군수사령부,2016-03-08 14:30,C7162,(주)세이팜,saypharm,박영식,02-849-6610,02-849-6610,서울특별시 영등포구 가마산로46길3-0 (대림동),88.293,"11,670,900"
7810,33,SCH0067,1,4396,***,휴대용 고압 세척기 등 2종,물품,SCH,해군작전사령부,2016-03-08 14:00,GD8C6,백산,BAEK SAN,백용성,010-4584-3365,010-4584-3365,경상남도 창원시 진해구 웅천동로100 (남문동),88.0181,"13,938,000"
7813,3,HCF0008,2,3188,***,철사각관 등 56종,물품,HCF,공군군수사령부,2016-03-08 11:00,B96E1,희망테크,HOPE CO,김경호,053-604-1891,053-604-1891,"대구광역시 북구 유통단지로16, (산격동, 산업용재관) 2-19호",74.3365,"16,989,500"
7814,4,HCC0028,1,4327,***,유체정역학 유니트 등 6품목,물품,HCC,해군제1수리창,2016-03-08 11:00,G4B68,남부상사,NAMBUSANGSA,오승현,070-4496-1169,070-4496-1169,강원도 동해시 샘실3길12-0 (천곡동),88.4024,"1,019,000"
7817,57,SFD0045,1,4663,***,롤백상지등 184품목,물품,SFD,제9227부대,2016-03-08 11:00,EC37A,오피스디포 포항본점,officedepot pohang,이상원,054-281-9001,054-281-9001,경상북도 포항시 북구 중앙로190-2 (죽도동),88.1806,"13,831,700"
