입찰명,발주기관코드,발주기관,카테고리
적외선 카메라 구매설치,UMM,국군재정관리단,미분류
체력단련장 코스관리물품 비료 구매,UMM,국군재정관리단,미분류
노후 LAN 교체사업(리스물건),UMM,국군재정관리단,미분류
Y 커플러 등 37품목,SFH,제9196부대,미분류
1607부대 16년 상병건강검진시약 구매,LHF,제1607부대,미분류
토너(LBP6330K) 등 28종 구매,SCP,제8385부대,미분류
유성펜 등 203종 구매,SCP,제8385부대,미분류
축 등 11품목,HCC,해군제1수리창,미분류
미끄럼방지 3호 규사 등 2종,SCF,해군군수사령부,미분류
입구 샤프트 씰 등 2종,SCF,해군군수사령부,미분류
회로카드 조립체 등 9종,SCF,해군군수사령부,미분류
방검부력조끼 90EA,SCF,해군군수사령부,미분류
퀼팅원단,EHD,물자계약팀,미분류
자동전압조정기,SFH,제9196부대,미분류
00부대 모바일 상품권 구매,MDC,제1363부대,미분류
00부대 냉난방기 설치납품(16-152),LGT,제2307부대,미분류
00부대 냉난방기 설치납품(16-145),LGT,제2307부대,미분류
`16-00부대 마이크로피펫 등 5종 구매,MDQ,국군의무학교,미분류
(육성) 동원처 에어컴프레샤 24대 구매,LKM,제2632부대,미분류
지하매설물 탐지기 구매,LCG,육군본부,미분류
비플렛클라리넷 리드 등 11종 구매,SCP,제8385부대,미분류
방충망 등 74종 구매,SCQ,제9911부대,미분류
사후생훈련철제표지(대) 등 97종,SCF,해군군수사령부,미분류
4K 카메라 구매,MCS,국방부계룡대근무지원단,미분류
슈퍼타이 등 75종 구매,MCS,국방부계룡대근무지원단,미분류
브리핑체계 도입사업,UMM,국군재정관리단,미분류
빔프로젝터 도입사업,UMM,국군재정관리단,미분류
비행조종장치용 시험세트 구매,UMM,국군재정관리단,미분류
119-2 풋살경기장 인조잔디 등 설치납품,LKH,제6128부대,미분류
00부대 간부숙소 개선,LHP,제22보병사단,미분류
내화 금고,SFG,제9181부대,미분류
레그익스텐션 등 11종,SCH,해군작전사령부,미분류
복사용지 등 37종,SCG,해군본부,미분류
"캡,튜브용 등 11종",SCF,해군군수사령부,미분류
플런저 등 2종,SCF,해군군수사령부,미분류
감속기어 1종,SCF,해군군수사령부,미분류
"호이스트,체인식 1종",SCF,해군군수사령부,미분류
파워그립 장갑 등 187종 구매,SCR,해군제3함대사령부,미분류
압축기(FX5) 1종,SCF,해군군수사령부,미분류
항-16-035 체성분분석기 휴대형,HCL,공군사관학교,미분류
빙과 냉장고 등 18종,SCN,제7001부대,미분류
염색 침투 탈상제(세척액) 등 21종,SCH,해군작전사령부,미분류
잉크 등 52종,SCF,해군군수사령부,미분류
본덱스 등 46품목 구매,SFL,제3283부대,미분류
마개 등 2종,SCF,해군군수사령부,미분류
실린더라이너 등 48종,SCF,해군군수사령부,미분류
고속정전투화,EHD,물자계약팀,미분류
00부대 풋살경기장 재재(완제품) 설치납품,LMR,제5군단사령부,미분류
16년 안전진단 장비 구매,MFH,국방시설본부,미분류
"호스 조립체,비금속제 등 27항목 구매(궤도)",LCF,육군군수사령부,미분류
탐조등 릴레이상자 등 7항목 구매(궤도),LCF,육군군수사령부,미분류
장치대 등 45종 구매,HCF,공군군수사령부,미분류
청소기 등 32종 구매(연평도),SFN,연평부대,미분류
수신기 등 17종,SFG,제9181부대,미분류
전기 국솥 구매,SCR,해군제3함대사령부,미분류
자동화사격훈련장 유지보수 용역,SFG,제9181부대,미분류
00부대 이전사업 관급자재(온수저장탱크)(16-특별-03),LMR,제5군단사령부,미분류
탁구채 등 22종 구매,SDG,제2002부대,미분류
연결컨넥터 등 641종 구매,SDG,제2002부대,미분류
라파엘 크림 등 64종 구매,SDG,제2002부대,미분류
네임펜 등 178종 구매,SCR,해군제3함대사령부,미분류
용융제강슬래그 등 3종 구매,SCR,해군제3함대사령부,미분류
넥마이크(120개) 구매,SCP,제8385부대,미분류
헌병바클 등 45종,SCF,해군군수사령부,미분류
비행종단체계지상통제장비,EGG,유도무기계약팀 (구:19.09.16),미분류
'16-ㅇㅇ학교 박물관 전시실 제작 설치,SCL,해군사관학교,미분류
시안화나트륨등15종구매,LDH,육군종합정비창,미분류
BTCS용 회로카드조립체 등(A),EGH,지휘정찰계약팀 (구:19.09.16),미분류
VoIP 교환기 구축,UMM,국군재정관리단,미분류
휴대용 기상측정 장비셋 구매,MDN,국군화생방방호사령부,미분류
복사용지 등 60종 구매,SFM,제3170부대,미분류
시동모터 등 5종 구매,SCP,제8385부대,미분류
주소용 라벨 등 407품목,SFC,제9691부대,미분류
제빙기 등 2품목 (16-144호),SFC,제9691부대,미분류
내화캐비닛(4단)(16-156호),SFC,제9691부대,미분류
3공이동펀치등 405품목 구매,SFC,제9691부대,미분류
15인승 고속단정(해군용),EGC,함정계약팀 (구:19.09.16),미분류
16년 40밀리 연습유탄,EGG,유도무기계약팀 (구:19.09.16),미분류
훈련용축사기류,EGF,기동화력계약팀 (구:19.09.16),미분류
어뢰회수용 보트,EGC,함정계약팀 (구:19.09.16),미분류
멸균거즈 등 56항목 구매,LCF,육군군수사령부,미분류
사격장 무선송수신기 구매,LKG,육군제53보병사단,미분류
상황실 구축용 전시기 등 13종 구매,UMM,국군재정관리단,미분류
VoIP 교환기용 동보장치,UMM,국군재정관리단,미분류
16년 IP교환기 도입사업(리스물건),UMM,국군재정관리단,미분류
오링 등 122품목,SFH,제9196부대,미분류
허브 등 143종,SCH,해군작전사령부,미분류
냉장고 등 4종 구매,SCR,해군제3함대사령부,미분류
서치라이트 등 15종 구매,SCP,제8385부대,미분류
5단 선반 등 219종 구매,SCQ,제9911부대,미분류
피스톤 등 45종,SCF,해군군수사령부,미분류
"방현재, 선박용 등 14종",SCF,해군군수사령부,미분류
덮개 1종,SCF,해군군수사령부,미분류
00학교 남자 간호장교 간호복,MDW,국군간호사관학교,미분류
궤도장비 전장품류,EGF,기동화력계약팀 (구:19.09.16),미분류
(16-075) 전자제품 등 5품목,HDN,공군제18전투비행단,미분류
오디오 구매,SFH,제9196부대,미분류
고속단정 예비모터,SFH,제9196부대,미분류
특전여단 천마상 상징조형물 제작 / 설치,LCH,특수전사령부,미분류
해머류,EHD,물자계약팀,미분류
항-16-033 약품 보관장 A등 19종,HCL,공군사관학교,미분류
원형탁자 등 4종,SCN,제7001부대,미분류
침대 등 4종,SCN,제7001부대,미분류
세라믹 인두기 등 292종,SFG,제9181부대,미분류
`16-00부대 심폐소생술 마네킨 등 9종 구매,MDQ,국군의무학교,미분류
조16-방관사-35 방관사 근행과 런닝머신 구매,HDR,공군방공관제사령부,미분류
스테플러 등 289종,SCH,해군작전사령부,미분류
경량빈 5개,SCH,해군작전사령부,미분류
위험물보관함 등 164종 구매,SCR,해군제3함대사령부,미분류
절연테이프 등 140종 구매,SDG,제2002부대,미분류
소변검사 키트 등 35품목 구매,SFL,제3283부대,미분류
특전여단 천마상 상징조형물 제작 / 설치,LCH,특수전사령부,미분류
번호자물쇠 등 26품목,SFC,제9691부대,미분류
볼수거기 등 2품목 구매,SFC,제9691부대,미분류
보드마카 등 701종,SFG,제9181부대,미분류
(16-057) 접착제등 93품목,HDN,공군제18전투비행단,미분류
구리양극 조립체 등 6종,SCF,해군군수사령부,미분류
"캡,튜브용 등 9종",SCF,해군군수사령부,미분류
"게이지,전해질 수위용 1종",SCF,해군군수사령부,미분류
"코드 어셈블리,탄성 등 2종",SCF,해군군수사령부,미분류
12포병 풋살경기장 인조잔디 설치납품,LGS,육군 제8군단,미분류
롤카펫트 구매,SFL,제3283부대,미분류
쓰레기봉투 등 79종,SCG,해군본부,미분류
복사용지 등 220종,SCG,해군본부,미분류
해안경계 통합시스템 구축사업,UMM,국군재정관리단,미분류
폼필드 휀다 등 2종,SCF,해군군수사령부,미분류
개스킷 등 7종,SCF,해군군수사령부,미분류
16년 점화휴즈,EGG,유도무기계약팀 (구:19.09.16),미분류
넉가래 등 192종,SFG,제9181부대,미분류
벤치프레스 등 4종,SFG,제9181부대,미분류
방한모 등 2종 구매,LGQ,제36보병사단,미분류
"신형야전깔개/롤,주름형",EHD,물자계약팀,미분류
작업대 등 2항목 구매(물자),LCF,육군군수사령부,미분류
BTCS용 디스플레이유닛 등,EGH,지휘정찰계약팀 (구:19.09.16),미분류
"스프링,원통형,압축 등 11항목 구매(궤도)",LCF,육군군수사령부,미분류
모르타르(초속경성),HDL,공군제16전투비행단,미분류
운동용품 구매,HFK,제1방공유도탄여단,미분류
인조잔디 설치납품,LCP,육군항공사령부,미분류
"튜브,레버조립체 등 65항목 구매(궤도)",LCF,육군군수사령부,미분류
폐토너통 등 48종,SCH,해군작전사령부,미분류
에어컨 등 7종(16-141),HDC,공군제1전투비행단,미분류
오븐받침대 등 6종 구매,SFM,제3170부대,미분류
유도부운동용품(락테이프 등 5품목),MCT,국군체육부대,미분류
복사용지 등 49종 구매,SCP,제8385부대,미분류
`16년 육성지원자금 (벌목도 등11종),LNS,제55보병사단,미분류
소토사등 2품목,SFC,제9691부대,미분류
영인본 제작 구매,SFC,제9691부대,미분류
발류트 케이싱 등 2종 구매,SCI,제9121부대,미분류
재생토너 등 105종,SCH,해군작전사령부,미분류
"랜턴, 전기식 등 2종",SCF,해군군수사령부,미분류
"00부대 급유기, 유류탱크 설치납품",LNR,수도기계화보병사단,미분류
"하우징, 속도조정기용",EGF,기동화력계약팀 (구:19.09.16),미분류
심장세동제거기 구매(물품),LCF,육군군수사령부,미분류
삼각팬티,EHD,물자계약팀,미분류
삼각팬티,EHD,물자계약팀,미분류
삼각팬티,EHD,물자계약팀,미분류
삼각팬티,EHD,물자계약팀,미분류
이동식에어컨(5톤 확장식 밴용),EHD,물자계약팀,미분류
BTCS용 회로카드조립체 등(B),EGH,지휘정찰계약팀 (구:19.09.16),미분류
풍향풍속계,EGH,지휘정찰계약팀 (구:19.09.16),미분류
용접복,EHD,물자계약팀,미분류
16년 사격장 방송장비 시스템 설치납품,LKG,육군제53보병사단,미분류
작전용 헤드폰 구매,UMM,국군재정관리단,미분류
잠수장비세트 등 8종 구매,UMM,국군재정관리단,미분류
이동형 히터 구매,UMM,국군재정관리단,미분류
초음파 탐상기 구매,UMM,국군재정관리단,미분류
취약점 진단 SW라이선스 연장,UMM,국군재정관리단,미분류
창조 12차 장비도입(데스크탑)사업 구매,UMM,국군재정관리단,미분류
쇄석 등 58종,SDF,제5738부대,미분류
고속정전투복,EHD,물자계약팀,미분류
중 하중용 캐스터 회전식 6인치 등 29품목,HCC,해군제1수리창,미분류
해상사격표적(풍선 등 2종),SCH,해군작전사령부,미분류
렌즈 18-200 등 4종,SCF,해군군수사령부,미분류
회로카드 조립체 등 3종,SCF,해군군수사령부,미분류
"송풍기,공기장벽형 1종",SCF,해군군수사령부,미분류
"실린더 조립체, 공기식, 잠수장비용 등 2종",SCF,해군군수사령부,미분류
냉동기유 등 5종,SCF,해군군수사령부,미분류
에어컨 압축기 등 7종,SDQ,해군제2수리창,미분류
스웨터,EHD,물자계약팀,미분류
수영장 관리용품 61종 구매,LCH,특수전사령부,미분류
수영장 수질관리 약품 3종 구매,LCH,특수전사령부,미분류
16-본-육-4 냉온수기 구매설치,UMM,국군재정관리단,미분류
후반기 코스관리자재(비료) 구매,UMM,국군재정관리단,미분류
후반기 코스관리자재(농약) 구매,UMM,국군재정관리단,미분류
16년 남수원체력단련장 코스관리장비 구매,UAB,국군복지단,미분류
16년 체력단련장 경기도우미 동복 구매,UAB,국군복지단,미분류
복사용지 등 297종,SDF,제5738부대,미분류
"보관상자,통제관용 등 3항목 구매(총포)",LCF,육군군수사령부,미분류
패킹재료 등 17항목 구매(총포),LCF,육군군수사령부,미분류
고속단정 모터 구매(연평도),SFN,연평부대,미분류
복사용지 등 460종 구매,SCR,해군제3함대사령부,미분류
"""ㄱ""앵글 등 2종 구매",SCQ,제9911부대,미분류
26인치 제논탐조등,EHA,일반장비계약팀 (구:19.09.16),미분류
풋살장 3개소 관급자재(인조잔디 및 충진재) 설치납품,LKG,육군제53보병사단,미분류
연결기 등 2품목,HCC,해군제1수리창,미분류
환경정화사업 자재 구매,LMD,제7821부대,미분류
계전기 및 배선장치류,EGF,기동화력계약팀 (구:19.09.16),미분류
"잉곳, 주석-청동용 등 13품목",HCC,해군제1수리창,미분류
00부대 철혈강당 출입문 교체(설치납품),LFR,육군기계화학교,미분류
고속단정(15인승)(해병대용),EGC,함정계약팀 (구:19.09.16),미분류
리프트,EHA,일반장비계약팀 (구:19.09.16),미분류
토양오염 정화사업 약품구매,LGK,제5897부대,미분류
(16- 세-020.021) 디지털 도어락,HDN,공군제18전투비행단,미분류
세탁기 구매,HDK,공군제11전투비행단,미분류
탁상시계 구매,LCG,육군본부,미분류
조종흉장(포제) 등 69종,HCF,공군군수사령부,미분류
GOP 철책당김작업 자재구매(02),LHD,제21보병사단,미분류
00부대 워크스테이션 등 3종 구매,LFR,육군기계화학교,미분류
전동체인호이스트 1EA,SCK,해군교육사령부,미분류
복사용지 등 81종,SCG,해군본부,미분류
16-151 X-LOCK FITTING 등 73품목,HCL,공군사관학교,미분류
종이화일꽂이 등 26종,SCG,해군본부,미분류
꽹과리 등 5종 구매(연평도),SFN,연평부대,미분류
행정봉투 등 287종,SCG,해군본부,미분류
"모듈,정류기용 1종",SCF,해군군수사령부,미분류
시동줄 등 5종,SCF,해군군수사령부,미분류
복사기 토너 등 16종,SCG,해군본부,미분류
철판 등 9종 구매,SCR,해군제3함대사령부,미분류
가레지작기 등 4종,SCK,해군교육사령부,미분류
홍송 등 3종,SCK,해군교육사령부,미분류
증류수생산기 1EA,SCF,해군군수사령부,미분류
EOD킷(실버) 등 11종,SCH,해군작전사령부,미분류
거짓말탐지영상 녹화시스템 구매,NIT,국방부조사본부,미분류
전기밥솥 등 3품목 구매,SFL,제3283부대,미분류
'16년 3분기 정보화 운용재료 구매,UMM,국군재정관리단,미분류
임팩소켓 등 37종 구매,SCN,제7001부대,미분류
"냉각기, 유체식, 산업용 10EA",SCF,해군군수사령부,미분류
회로카드 조립체 8EA,SCF,해군군수사령부,미분류
증폭기 등 17항목 구매(특무),LCF,육군군수사령부,미분류
시트 조립체 등 8항목 구매(특무),LCF,육군군수사령부,미분류
"계전기,전자자기식 등 33항목 구매(특무)",LCF,육군군수사령부,미분류
철제계급장,EHD,물자계약팀,미분류
포제계급장,EHD,물자계약팀,미분류
동계용 장갑 구매,MDR,제9965부대,미분류
1주일 만에 뚝딱 연극 만들기 등99종(연평도),SFN,연평부대,미분류
헤리칼안테나 등 13종 구매,SCP,제8385부대,미분류
스프링 판형 등 7종,SCF,해군군수사령부,미분류
봉 직선형 무두형 등 5종,SCF,해군군수사령부,미분류
메카니칼 시일 등 34종,SCF,해군군수사령부,미분류
와이퍼모타(전기식),EHA,일반장비계약팀 (구:19.09.16),미분류
사계절 신형전투복,EHD,물자계약팀,미분류
디지털무늬 하계절 전투복,EHD,물자계약팀,미분류
다목적 송풍기 등 10종 구매,LCH,특수전사령부,미분류
고공낙하산 구매,UMM,국군재정관리단,미분류
탄약정비용 특수 잉크 등 5종 구매,LDG,육군 탄약지원사령부,미분류
TV모듈레이터 2EA,SCK,해군교육사령부,미분류
행정 각대봉투 등 82종,SCH,해군작전사령부,미분류
해도대 등 10종 구매,SCI,제9121부대,미분류
야전박스 8개,SCH,해군작전사령부,미분류
노트 등 153종,SCK,해군교육사령부,미분류
실링 등 6품목,HCC,해군제1수리창,미분류
16-J-교환기 확장/증설 및 동보FAX 교체사업,SEE,제9해병여단,미분류
"방현재,선박용 등 8종",SCF,해군군수사령부,미분류
단문전송시스템(SMS) 전송기 구매,LHQ,제2작전사령부,미분류
송풍기(궤도장비용),EGF,기동화력계약팀 (구:19.09.16),미분류
하네스류,EGF,기동화력계약팀 (구:19.09.16),미분류
시동기,EGF,기동화력계약팀 (구:19.09.16),미분류
이동식운반용기,EHD,물자계약팀,미분류
물류이동장비(전동화물운반차 4대) 구매,LDH,육군종합정비창,미분류
보스민액 등 77종 구매,LGD,육군종합행정학교,미분류
램프 등 18종 구매,UMM,국군재정관리단,미분류
교육장비(사이버모의훈련시스템) 구매,UMM,국군재정관리단,미분류
교육장비(전기자동자시스템) 구매,UMM,국군재정관리단,미분류
국방정보통신망 라우터 구매설치,UMM,국군재정관리단,미분류
00지역 등 3개지역 LAN 교체사업,UMM,국군재정관리단,미분류
탄약 정비용자재 76종 구매,UMM,국군재정관리단,미분류
16년 차세대 DEMIS 재활용장비 교체사업,UMM,국군재정관리단,미분류
오디오 파일 시스템 구매 설치,UMM,국군재정관리단,미분류
예비군훈련용 00분해도 4종 구매,LCG,육군본부,미분류
반조봉 등 5종 구매,LCG,육군본부,미분류
"클램프,루프형 등 18항목 구매(궤도)",LCF,육군군수사령부,미분류
"게이지, 고도측정용 등 60항목 구매(물자)",LCF,육군군수사령부,미분류
"줄,수동식 등 94항목 구매",LCF,육군군수사령부,미분류
"연삭기,다용도용 등 4항목 구매(물자)",LCF,육군군수사령부,미분류
"와셔,잠금식 등 154항목 구매(총포)",LCF,육군군수사령부,미분류
"시험대, 유압계통 구성품용",HCF,공군군수사령부,미분류
사병외투,EHD,물자계약팀,미분류
무정전 주파수변환기 80KVA,EGH,지휘정찰계약팀 (구:19.09.16),미분류
(16-179)군 공항사용 분담금(할로겐램프외 16품목),HDM,공군제17전투비행단,미분류
TV 증폭기 메인 유니트 7개,SCH,해군작전사령부,미분류
패킹 등 20종,SCH,해군작전사령부,미분류
토너(MLT-D203L) 등 30종 구매,SCP,제8385부대,미분류
자외선램프 구매,SFL,제3283부대,미분류
"제어장치,소자용 1종",SCF,해군군수사령부,미분류
잉크 등 140품목 구매,SFC,제9691부대,미분류
인화지 등 217종 구매,SCQ,제9911부대,미분류
팩스토너 등 163종 구매,SCQ,제9911부대,미분류
체력단련기구(런닝머신 등 5종) 구매,SCL,해군사관학교,미분류
동계 취사복 등 3종,SCF,해군군수사령부,미분류
"취사형, 앞치마 원단 1종",SCF,해군군수사령부,미분류
제동 저항기 1종,SCF,해군군수사령부,미분류
브이벨트 등 34종,SCF,해군군수사령부,미분류
가루비누(슈퍼타이 1kg) 구매,MCS,국방부계룡대근무지원단,미분류
13개부대 피뢰침보강 자재 구매,LHC,제1729부대,미분류
노래방기기,SFH,제9196부대,미분류
"(16-046,047) 금속제작품 2품목",HDN,공군제18전투비행단,미분류
노출계 등 16종,SFD,제9227부대,미분류
가열기 유체식 산업용 1종,SCF,해군군수사령부,미분류
칼마토 완성기 등 18종 구매,SCR,해군제3함대사령부,미분류
고무블럭 등 9종 구매,SCP,제8385부대,미분류
훈련교관 벨트 등 320품목 구매,SFL,제3283부대,미분류
조속기,HCC,해군제1수리창,미분류
밸트 등 7종 구매,SCR,해군제3함대사령부,미분류
AL앵글 클램프 등 116종 구매,SCR,해군제3함대사령부,미분류
태릉체력단련장 골프카트 구매,UMM,국군재정관리단,미분류
스프링류,EGF,기동화력계약팀 (구:19.09.16),미분류
전동 파렛트 트럭,SCF,해군군수사령부,미분류
포장 비닐 등 26종,SCF,해군군수사령부,미분류
재봉기 등 4종,SCF,해군군수사령부,미분류
위성장비 전원공급기 등 4항목 구매(물품),LCF,육군군수사령부,미분류
탐지3호 모뎀 등 2항목 구매(물품),LCF,육군군수사령부,미분류
통신용 단자함 등 2항목 구매(물품),LCF,육군군수사령부,미분류
통신용 절연테이프 등 4항목 구매(물품),LCF,육군군수사령부,미분류
'16년 유류취급 안전장구류 구매,LMS,제7789부대,미분류
보관함등22종,HDP,공군제19전투비행단,미분류
핀조립체 등 937항목 구매(궤도),LCF,육군군수사령부,미분류
적사함 구매,UMM,국군재정관리단,미분류
이동식 방호벽 등 4종 구매,UMM,국군재정관리단,미분류
연구소 기술용역 재료비 초자 구매,MDN,국군화생방방호사령부,미분류
구급낭등 14종 구매,LNQ,제17보병사단,미분류
회로카드 조립체 등 63항목 구매(궤도),LCF,육군군수사령부,미분류
핀조립체 등 937항목 구매(궤도),LCF,육군군수사령부,미분류
손잡이조립체,EGF,기동화력계약팀 (구:19.09.16),미분류
교체용코브라 등 99품목 구매,SFL,제3283부대,미분류
00대대 풋살장 인조잔디 및 충진재 설치납품,LHR,육군 제37보병사단,미분류
엑소메가크림 등 38품목 구매,SFL,제3283부대,미분류
"컵,세라믹제 등 16종",SCF,해군군수사령부,미분류
포탄 조립체 등 6종,SCF,해군군수사령부,미분류
에어컨 실외기 거치대 설치납품,MCS,국방부계룡대근무지원단,미분류
"브래킷,판류",EGF,기동화력계약팀 (구:19.09.16),미분류
"잭,유압식, 수동식 등 62항목 구매(물자)",LCF,육군군수사령부,미분류
탐지3호용 회로카드조립체,EGH,지휘정찰계약팀 (구:19.09.16),미분류
방진 고무판 등 00종 구매,LCP,육군항공사령부,미분류
수입봉류,EGF,기동화력계약팀 (구:19.09.16),미분류
16년 브리핑체계 교체사업(리스물건),UMM,국군재정관리단,미분류
16년 해군 교환기 교체사업,UMM,국군재정관리단,미분류
장력장치류,EGF,기동화력계약팀 (구:19.09.16),미분류
암조립체류,EGF,기동화력계약팀 (구:19.09.16),미분류
텅스텐봉 등 84종,SCH,해군작전사령부,미분류
UNI TV 등 17종,SCH,해군작전사령부,미분류
삼파장 램프 등 20종,SCH,해군작전사령부,미분류
pole Gun 등 7종,SCH,해군작전사령부,미분류
슬링벨트 등 32종,SCH,해군작전사령부,미분류
주석덩이 등 6종,SCF,해군군수사령부,미분류
팩 조립체 등 10종,SCF,해군군수사령부,미분류
조16-방관사-22 군수과 이동형 에어컨,HDR,공군방공관제사령부,미분류
세탁장비(드라이크리닝) 구매 설치,UMM,국군재정관리단,미분류
하계취사복 상의 구매,LKP,5군수지원사령부,미분류
로드휠조립체(BV-206),EHA,일반장비계약팀 (구:19.09.16),미분류
통합 위성항법시스템(GNSS) 구매 설치,UMM,국군재정관리단,미분류
세탁기 구매 설치,UMM,국군재정관리단,미분류
"권양기,체인식 등 27종",SCF,해군군수사령부,미분류
자동 에어릴 등 75항목 구매(물자),LCF,육군군수사령부,미분류
파병 티셔츠 등 3종 구매,SCH,해군작전사령부,미분류
"덮개, 사령관 지휘소 지붕용",EGF,기동화력계약팀 (구:19.09.16),미분류
축 및 기어류,EGF,기동화력계약팀 (구:19.09.16),미분류
터치 앤 터프 등 64품목,HCF,공군군수사령부,미분류
프로브 등 2종구매,LDH,육군종합정비창,미분류
K1리테이너등23종구매,LDH,육군종합정비창,미분류
16-Bb트럼펫 등 19종 구매,UMM,국군재정관리단,미분류
'16년 국방부 회의실 브리핑시스템 장비 구매설치,UMM,국군재정관리단,미분류
고양 가동장치 작업대 2종,HCF,공군군수사령부,미분류
16년 포제휘장류,EHD,물자계약팀,미분류
16년 금속휘장류,EHD,물자계약팀,미분류
흉장 및 예비군마크,EHD,물자계약팀,미분류
부대표지(정복/근무복용),EHD,물자계약팀,미분류
군장품류(전투복용),EHD,물자계약팀,미분류
분석기(비행조종계통 점검용)외1종 구매(16-38),HCR,공군제15특수임무비행단,미분류
"기어조립체, 감속기용 1종",SCF,해군군수사령부,미분류
"조종간,자료입력용 등 2종",SCF,해군군수사령부,미분류
전자신호봉 등 47종 구매,SCR,해군제3함대사령부,미분류
더존연필 등 69종 구매,SCP,제8385부대,미분류
복싱부 운동용품 구매(헤드기어등),MCT,국군체육부대,미분류
리프레쉬플러스 점안액 등 112종,SFG,제9181부대,미분류
반찬냉장고 등 4종,SFG,제9181부대,미분류
입구 샤프트 씰 1종,SCF,해군군수사령부,미분류
"게이질,전해질 수위용 등 5종",SCF,해군군수사령부,미분류
연마지 등 9종,SCF,해군군수사령부,미분류
조화파티션 등 7종(연평도),SFN,연평부대,미분류
축구공 등 284품목 구매,SFL,제3283부대,미분류
동원처 컵소독기 60대 구매,LKM,제2632부대,미분류
남자축구부 운동용품 구매(점퍼 등 5품목),MCT,국군체육부대,미분류
덕트 온도센서 등 14종 구매,SCR,해군제3함대사령부,미분류
카드발급 피린터 등 5품목 (16-95호),SFC,제9691부대,미분류
전자렌지 등 3품목 구매(지원과),SFC,제9691부대,미분류
비상조명등 171품목 구매,SFC,제9691부대,미분류
"3단 경봉 등 12품목(16-109,18호)",SFC,제9691부대,미분류
압축링 3단 등 18종,SCF,해군군수사령부,미분류
링 피스톤 등 18종,SCF,해군군수사령부,미분류
방청제 등 909종,SCF,해군군수사령부,미분류
형광램프외 6종 구매,MCS,국방부계룡대근무지원단,미분류
무열대 체력단련장 유류 구매,LHQ,제2작전사령부,미분류
2016-100호(자산)장탄 컨베어로라 등 4,SFD,제9227부대,미분류
하드디스크 등 66종,SFD,제9227부대,미분류
TV스탠드 등 10종,SFD,제9227부대,미분류
작전지원과 에어컨 등 7종(16-125),HDF,공군 제8전투비행단,미분류
65대대 1포대 지붕 등 2개소 자재구매 등 2건,LHG,제1862부대,미분류
복사지 등 167종 구매,LGD,육군종합행정학교,미분류
106-에어컨등3종 구매설치,HDL,공군제16전투비행단,미분류
2/4분기 정보체계용품 구매,LDH,육군종합정비창,미분류
휴대용 금속탐지기 등 2품목(헌병단),SFC,제9691부대,미분류
탄약고 경계 cctv 설치납품,LNG,육군 제1군단,미분류
00부대 방열기 교체 등 4건 자재구매,LNF,제1보병사단,미분류
알루미늄 합금판 등 26품목,HCC,해군제1수리창,미분류
감자칼 등 36종,SCN,제7001부대,미분류
전자키 250개(현장설치 포함),SCH,해군작전사령부,미분류
화장지 등 45품목 구매,SEE,제9해병여단,미분류
16-128 에어컨 등 4종,HCL,공군사관학교,미분류
16-덕-복지시설 물탱크 청소용역,SFC,제9691부대,미분류
16-132 러닝머신 등 11종,HCL,공군사관학교,미분류
임관사령장(부사관) 외지 등 16종,SCK,해군교육사령부,미분류
하이브 USB 허브 등 327종 구매,SCI,제9121부대,미분류
압착뺀치 등 86종 구매,SCN,제7001부대,미분류
조이스틱 등 2종 구매,SCN,제7001부대,미분류
여름시트 구매,SCN,제7001부대,미분류
순간온수기 구매,SCN,제7001부대,미분류
복사용지 등 215종,SCG,해군본부,미분류
씰조립체,EHA,일반장비계약팀 (구:19.09.16),미분류
전원공급기 세트(SPS-64),EGH,지휘정찰계약팀 (구:19.09.16),미분류
HP-CJL5550DN 검정(정품) 등 71항목 구매(물자),LCF,육군군수사령부,미분류
니카드전지(항공기용),EHB,통신장비계약팀 (구:19.09.16),미분류
마사토 등 7종,SFD,제9227부대,미분류
더블에이 복사용지 A4 등 245종,SFD,제9227부대,미분류
수신기 등 17종,SFD,제9227부대,미분류
체력단련장 비료 구매,LCP,육군항공사령부,미분류
휴대용 마이크 앰프 구매,LCG,육군본부,미분류
16년 조사체계 S/W라이선스 구매,MCM,4284부대,미분류
체력단련장 비료 구매,LCP,육군항공사령부,미분류
휴대용 마이크 앰프 구매,LCG,육군본부,미분류
휴대용 금속탐지기 등 3종 구매,LCG,육군본부,미분류
"(16-044,049,050,052,053) 전자제품 19품목",HDN,공군제18전투비행단,미분류
"기어,내접형",EGF,기동화력계약팀 (구:19.09.16),미분류
DC 파워 서플라이 등 16품목 구매,SEE,제9해병여단,미분류
항-16-028 인슐린주사기 0.3cc 등 61종,HCL,공군사관학교,미분류
관물함(16-97),HDC,공군제1전투비행단,미분류
손목시계,SFG,제9181부대,미분류
예초기 등 3종 구매,SCR,해군제3함대사령부,미분류
구호변 등 3종 구매,SCR,해군제3함대사령부,미분류
16-학습지원과 (아스테이지 구매),UAZ,합동군사대학교,미분류
네비게이션외 3종 설치납품,MCS,국방부계룡대근무지원단,미분류
16년 공군 LAN장비 교체사업,UMM,국군재정관리단,미분류
16년 폭발효과묘사탄,EGG,유도무기계약팀 (구:19.09.16),미분류
오링 및 패킹류,EGF,기동화력계약팀 (구:19.09.16),미분류
"씰, 봉합조립체류",EGF,기동화력계약팀 (구:19.09.16),미분류
메인조명콘솔 등 12종 구매,UMM,국군재정관리단,미분류
