참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),ss,낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 ,군 분류,군수품분류
845,MDK0021,1,42544,***,TMO이동도서관 도서 구매,물품,MDK,국군수송사령부,2016-12-06 10:30,H4052,주식회사 대명스틸러스,"Daemyoung stillrus Co.,Ltd",박미정,070-8825-0911,070-8825-0911,070-8825-0911,강원특별자치도 원주시 천매봉길82-16 (단구동),90.0001,"19,366,400",육군,
30,SCN0357,1,42552,***,코팅기 등 33종,물품,SCN,제7001부대,2016-12-06 10:30,G79B3,참조은,Cham,유진숙,055-544-0077,055-544-0077,055-544-0077,"경상남도 창원시 진해구 천자로37-0 (이동, 동아기업)",88.0115,"3,698,900",육군,
58,SDG0070,1,42545,***,작업용 장갑 등 8 종,물품,SDG,제2002부대,2016-12-06 10:30,HAFAB,모두통신,Modu Tongsin,백화,010-2050-5312,010-2050-5312,010-2050-5312,"인천광역시 부평구 충선로3, 203호 (부평동, 뉴에이스)",88.0153,"8,703,000",해군,2종-피복류
38,SCN0356,1,42538,***,당구대 4EA,물품,SCN,제7001부대,2016-12-06 10:30,G7B37,마니,money,신동심,552957783,552957783,055-295-7783,경상남도 창원시 의창구 북면 동곡로33-0  휴먼빌108-501,88.0233,"11,444,800",육군,
21,SCG0211,1,42292,***,멀티크리너 등 47종,물품,SCG,해군본부,2016-12-06 10:30,F11DD,세계로상사,Saegyero Corp.,채홍삼,425512948,425512948,042-551-2948,충청남도 계룡시 신도안면 부남리167,88.1652,"3,851,000",해군,
6,HCL0094,1,42351,***,항-16-077 생화학분석기 기약 등 31종,물품,HCL,공군사관학교,2016-12-06 10:30,G80C3,아주바이오텍,aju biotec,지용현,043-1899-7522,043-1899-7522,043-1899-7522,"충청북도 청주시 흥덕구 흥덕로151-0 (운천동, 지하1층)",88.4572,"14,474,000",공군,
9,LQG0013,1,42501,***,OO부대 인조잔디 설치 납품,물품,LQG,육군 52보병사단,2016-12-06 10:30,C6DDB,그린월드조경,Green World Landscape,이정숙,312935288,312935288,031-293-5288,"경기도 수원시 장안구 서부로2065-0 (율전동, 삼성아파트상가동 203호)",88.0292,"41,138,000",육군,
32,SCN0353,1,42489,***,총기이동식 거치대 32EA,물품,SCN,제7001부대,2016-12-06 10:30,G9B70,영산스포츠(창원점),youngsansport(changwon),이진아,010-9237-0627,010-9237-0627,010-9237-0627,"경상남도 김해시 삼문로26-0 (대청동), 202호",88.0342,"5,121,900",육군,
73,SFL0152,1,42454,***,4/4분기 도서 구매,물품,SFL,제3283부대,2016-12-06 10:30,F542F,주식회사 그린이지,greeneg,강소연,7087163337,7087163337,070-8716-3337,경상북도 경산시 삼성현마을2길2 (여천동),90.0047,"4,037,840",육군,
29,LNM0016,1,42445,***,00부대 동원훈련장 온수보일러 제조설치 납품,물품,LNM,제5181부대,2016-12-06 10:30,H0239,주연ICT,JUYEONICT,이주연,070-4789-0055,070-4789-0055,070-4789-0055,경기도 파주시 중앙로279-0 (아동동),88.0433,"23,348,924",육군,
31,LNM0017,1,42446,***,00부대 동원훈련장 온수저장탱크 제조설치납품,물품,LNM,제5181부대,2016-12-06 10:30,F9B83,주식회사 다원산업,"DAWONINDUSTRIAL.CO.,LTD",이재만,314970154,314970154,031-497-0154,"경기도 시흥시 협력로281, 디812호(정왕동)",92.8178,"31,571,998",육군,
232,LKM0075,1,42405,***,00부대 녹음용 전화기 구매,물품,LKM,제2632부대,2016-12-06 10:30,FE82D,세림상사 주식회사,"SELIM INTERNATIONAL CO., LTD.",김병래,043-241-0304,043-241-0304,043-241-0304,충청북도 청주시 서원구 남이면 양촌2길10-1,88.0028,"8,904,030",육군,2종-통신물자
43,LFC0041,1,42340,***,의무장비 운영소모품 32종 구매(16-32차),물품,LFC,육군훈련소,2016-12-06 10:30,H7CE8,엠넷글로벌,mnetglobal,박명희,010-5324-8011,010-5324-8011,010-5324-8011,"서울특별시 동작구 매봉로4가길43, 301호(상도동, 동방빌라)",88.0774,"12,372,000",육군,
17,SCG0212,1,42303,***,문서보존상자 등 77종,물품,SCG,해군본부,2016-12-06 10:30,H7742,현대상사,hyundaesangsa,정재원,425511509,425511509,042-551-1509,충청남도 계룡시 엄사면 번영3길46-0,88.0776,"2,480,000",해군,
6,LPM0038,1,42308,***,의약품 및 임상병리 시약구매(11월),물품,LPM,제9보병사단사령부,2016-12-06 10:30,H5C41,주식회사 서경약품,Seokyeongpharm,최미옥,233948620,233948620,02-3394-8620,서울특별시 동대문구 장한로27길29 (장안동) 201비호,88.3621,"18,370,000",육군,
21,SCG0209,1,42271,***,복사용지 등 78종,물품,SCG,해군본부,2016-12-06 10:30,ED5D3,알파,,박지선,010-4411-2344,010-4411-2344,010-4411-2344,"충청남도 계룡시 엄사면 계룡대로524, 1-2",88.0142,"5,720,000",해군,
20,SCG0208,1,42265,***,양면 풀테이프 등 55종,물품,SCG,해군본부,2016-12-06 10:30,E9019,드림으뜸상사,Dreamtop Corp.,김범규,7077172948,7077172948,070-7717-2948,"충청남도 계룡시 신도안면 신도안1길43, 1층",88.1022,"3,013,000",해군,
90,LMQ0006,1,42166,***,아파트 디자인울타리 제조설치,물품,LMQ,제7297부대,2016-12-06 10:30,1640,대지이앤씨산업 주식회사,daejienc,안성원,262856717,262856717,02-6285-6717,"서울특별시 금천구 시흥대로97, 2동 316호(시흥동, 시흥산업용재유통센터)",88.0063,"45,568,400",육군,
284,LNG0015,1,41513,***,중형굴삭기 반자동 크러셔 설치납품,물품,LNG,육군 제1군단,2016-12-06 10:30,H0FC9,한스테크,HANSTECH,한연숙,1035699326,1035699326,010-3569-9326,"서울특별시 강서구 곰달래로245, 2-3호(화곡동)",88.0088,"20,592,989",육군,
43,SCN0355,1,42536,***,시그마 매트 등 18종,물품,SCN,제7001부대,2016-12-06 10:30,G79B3,참조은,Cham,유진숙,055-544-0077,055-544-0077,055-544-0077,"경상남도 창원시 진해구 천자로37-0 (이동, 동아기업)",88.0928,"16,244,000",육군,
563,LKM0076,1,42528,***,00부대 울타리 철조망 자재납품,물품,LKM,제2632부대,2016-12-06 10:30,E6977,청일종합상사,,황정연,28350043,28350043,02-835-0043,"서울특별시 영등포구 대림로40길 24,  1층(대림동)",88.0437,"37,937,500",육군,2종-공병물자
17,SCU0117,2,39805,***,엔진 양수기 등 2종,물품,SCU,해군 기동함대사령부,2016-12-06 10:30,F0FDC,영화산업,YOUNG HWA INDUSTRIAL,전병욱,222784433,222784433,02-2278-4433,경기도 안양시 만안구 냉천로203번길 4(),95.8666,"845,200",해군,
4,SDQ0079,1,41291,***,"센서,촉각반응용 등 5종",물품,SDQ,해군제2수리창,2016-12-06 10:30,C6E84,지니종합상사,Ziny Company,장향옥,070-4323-1700,070-4323-1700,070-4323-1700,경기도 평택시 포승읍 평택항로503-0,82.526,"31,900,000",해군,
6,SDQ0081,1,41323,***,핸드파렛트 트럭 등 3종,물품,SDQ,해군제2수리창,2016-12-06 10:30,F6122,프라임테크,prime tech,전진국,313653006,313653006,031-365-3006,"경기도 시흥시 마유로226, C동 503호 (정왕동, 파인힐 오피스텔)",76.6853,"1,265,000",해군,
14,SDQ0080,1,41302,***,면장갑 등 5종,물품,SDQ,해군제2수리창,2016-12-06 10:30,C6E84,지니종합상사,Ziny Company,장향옥,070-4323-1700,070-4323-1700,070-4323-1700,경기도 평택시 포승읍 평택항로503-0,69.153,"6,475,400",해군,2종-피복류
2,SCR0156,1,42352,***,배터리 등 6종 구매,물품,SCR,해군제3함대사령부,2016-12-06 10:30,C5657,영성기업사,,권혁필,518054447,518054447,051-805-4447,부산광역시 부산진구 전포대로254-0 (전포동),98.6007,"13,900,000",해군,2종-통신물자
3,SCR0154,1,42268,***,전기연장선 등 60종 구매,물품,SCR,해군제3함대사령부,2016-12-06 10:30,D7A2B,동서종합상사,dongsutile,최흥숙,7077337131,7077337131,070-7733-7131,전라남도 영암군 군서면 군서공단로60-10,78.7257,"17,320,000",해군,
2,SCQ0294,1,41460,***,'16년 00망 정보보호체계 구매 설치,물품,SCQ,제9911부대,2016-12-06 10:30,GD0C7,주식회사 아이티에이스,IT-ACE,한성구,3180283382,3180283382,031-8028-3382,"경기도 하남시 조정대로45, 9층 에프920호, 921호 (풍산동, 미사센텀비즈)",86.7955,"13,200,000",해병,
2,MDR0077,2,40375,***,사열대 등 6종 구매 제조,물품,MDR,제9965부대,2016-12-06 10:30,B6B09,우근건설 주식회사,"wo kun construction co.,ltd",강복순,426722800,426722800,042-672-2800,대전광역시 대덕구 오정로37번길 29(오정동),88.7559,"9,439,000",육군,
7,MDJ0018,1,40862,***,일반의약품 105종 구매,물품,MDJ,국군대전병원,2016-12-06 10:30,BA470,서울의약 주식회사,"Seoul medicines Co., Ltd.",이명순,29213763,29213763,02-921-3763,"서울특별시 성북구 돌곶이로154(장위동), 4층",88.0423,"30,263,681",기타,
6,MCS0159,1,41182,***,매립콘센트 등 63종 구매,물품,MCS,국방부계룡대근무지원단,2016-12-06 10:30,C7252,대경상사,daekyungsangsa,홍순억,042-551-1494,042-551-1494,042-551-1494,"충청남도 계룡시 신도안1길41-0 (신도안면, 계룡대쇼핑타운)",84.9675,"17,121,000",국방부직할,
4,MCR0021,1,41017,***,재경학습관 전자제품 구매설치,물품,MCR,국방대학교,2016-12-06 10:30,F6A39,주식회사 오리진엠앤티,ORIGIN MNT,홍기원,269593747,269593747,02-6959-3747,경기도 남양주시 다산지금로202 (다산동) B동 840호,83.8682,"36,081,180",국방부직할,
429,LHN0072,1,42260,***,광망 제설용 송풍기 구매,물품,LHN,제7보병사단,2016-12-05 15:30,G2743,드림산업,,김성미,7041588693,7041588693,070-4158-8693,강원특별자치도 춘천시 산수길269-85 (남산면),88.0114,"23,084,380",육군,
135,LPC0012,1,42206,***,접적대대 지휘통제실 화면전시체계 보강사업,물품,LPC,제25보병사단,2016-12-05 14:00,H4DAD,남양엘에스,NAM YANG LS,홍우동,032-858-1545,032-858-1545,032-858-1545,"경기도 시흥시 신현로355-70, 105호 (방산동)",88.049,"27,775,460",육군,
71,SDL0028,1,41497,***,어린이집 전자제품 구매(청소기 등 33종),물품,SDL,재경근무지원대대,2016-12-05 11:30,H665D,하나오피스,Officeq Guro,노기철,02-856-1174,02-856-1174,02-856-1174,"경기도 부천시 조마루로385번길122, 지하1층 비147호(춘의동, 삼보테크노타워)",88.0037,"14,151,720",육군,
2,LHN0070,1,41873,***,OO부대 GOP 난방시설 설치납품 등 6건,물품,LHN,제7보병사단,2016-12-05 11:30,C82A7,사내종합설비,,이청준,033-441-0304,033-441-0304,033-441-0304,강원도 화천군 사내면 사창리365-4,88.2679,"22,729,260",육군,
67,LDC0017,1,42086,***,00부대 보온대 구매,물품,LDC,육군과학화전투훈련단,2016-12-05 11:30,G2743,드림산업,,김성미,7041588693,7041588693,070-4158-8693,강원특별자치도 춘천시 산수길269-85 (남산면),88.0376,"31,289,390",육군,
40,LDC0019,1,42088,***,00부대 동계 물품 구매,물품,LDC,육군과학화전투훈련단,2016-12-05 11:30,H5319,주식회사 예일컴퍼니,YALE COMPANY,이명윤,033-1566-3639,033-1566-3639,033-1566-3639,"강원특별자치도 원주시 송림길40-29, 102호 (개운동)",88.0309,"10,969,660",육군,
112,LCG0122,1,41689,***,16-9차 전산운영용품 구매,물품,LCG,육군본부,2016-12-05 11:00,G8B30,(주)테스온,TES-on,오선옥,1029482014,1029482014,010-2948-2014,"경기도 양주시 부흥로1932, 5층 5801호 (광사동)",88.0079,"32,668,500",육군,2종-통신물자
188,LMH0034,1,42220,***,정보체계용품 SSD 구매,물품,LMH,제7군단,2016-12-05 11:00,GDB74,조은상사,조은상사,윤정숙,010-5768-2917,010-5768-2917,010-5768-2917,서울특별시 강서구 곰달래로18길33-13 (화곡동) 지석아파트603호,88.0,"39,704,722",육군,
34,LNQ0036,1,42198,***,전산운영용품 구매,물품,LNQ,제17보병사단,2016-12-05 11:00,H17D3,TS산업,TS INDUSTRY,김지현,032-219-7785,032-219-7785,032-219-7785,"인천광역시 미추홀구 한나루로610, 901호 (도화동, 신세계아파트)",88.0026,"35,782,000",육군,2종-통신물자
32,HDN0034,1,42190,***,(16-189) ㄱ앵글 등 24품목,물품,HDN,공군제18전투비행단,2016-12-05 11:00,H08AA,주식회사 광진,SAMKWANG CMS,최현근,336431007,336431007,033-643-1007,강원특별자치도 강릉시 강릉대로123 (교동),88.4675,"23,454,500",공군,
774,LHG0026,1,42139,***,제설용 송풍기 구매,물품,LHG,제1862부대,2016-12-05 11:00,H08BA,조인,join,이정배,7071766295,7071766295,070-7176-6295,경기도 양주시 옥정로200 (옥정동) 5층 506-71호,88.0024,"32,047,740",육군,
203,LPG0055,1,41583,***,00지역(연천) 롤테이너 등 5종 구매,물품,LPG,제5보병사단,2016-12-05 11:00,H253B,나길,nagill,이우호,010-9638-1986,010-9638-1986,010-9638-1986,"경기도 고양시 일산서구 일산동1077, 후곡마을15단지 1510동206호",88.0175,"14,359,416",육군,
4,UAB0024,2,40061,***,17년 영업배상보험 및 캐디근재보험,물품,UAB,국군복지단,2016-12-05 11:00,FD9E5,엠지손해보험 주식회사,"MG Non-Life Insurance Co.,Ltd",윤진호,237882554,237882554,02-3788-2554,"서울특별시 강남구 테헤란로335-0 (역삼동, 엠지손해보험빌딩)",89.024,"29,203,600",기타,
56,HDN0033,1,41972,***,(16-183) 노면표지용도로 등 15품목,물품,HDN,공군제18전투비행단,2016-12-05 11:00,GDFEA,JW종합상사,JW JONGHAPSANGSA,이종원,033-575-0169,033-575-0169,033-575-0169,강원도 삼척시 정라사거리길7(정상동),88.1073,"20,701,450",공군,
19,MCT0071,1,42020,***,시설자재(럭비장 차양대 등 8건) 구매,물품,MCT,국군체육부대,2016-12-05 11:00,CEB09,도매유통안전,domesafe,김춘기,053-383-0900,053-383-0900,053-383-0900,대구광역시 달서구 와룡로236-0 (죽전동),88.0317,"51,594,620",기타,
25,LCG0123,1,41702,***,반조봉 등 5종 구매,물품,LCG,육군본부,2016-12-05 11:00,GECD1,(주)한일,hanil,김동신,612798502,612798502,061-279-8502,전라남도 목포시 용당로225-1 (용당동),88.0869,"33,094,200",육군,
2,MDR0079,1,40989,***,고속고무보트 7인승 제조,물품,MDR,제9965부대,2016-12-05 10:30,GD16E,주식회사 우성아이비,"Woosung I.B. Co., Ltd.",이희재,325501000,325501000,032-550-1000,인천광역시 부평구 부평북로297-0 (갈산동),89.988,"39,607,920",육군,
251,SCI0051,2,40639,***,"리드선 조립체, 전기용 100EA 구매",물품,SCI,제9121부대,2016-12-05 10:30,CE517,경남상사,,허정명,051-338-6138,051-338-6138,051-338-6138,경상남도 창원시 진해구 용원로90번길 11-1(),99.4988,"49,000,000",해군,
11,SCI0050,2,40633,***,상패보관함 2EA 구매,물품,SCI,제9121부대,2016-12-05 10:30,C259D,주식회사  프로웰,PROWELL,박용기,556070789,556070789,055-607-0789,"경상남도 창원시 성산구 완암로50   메카-1113 (성산동, SK테크노파크)",98.9809,"1,552,000",해군,
18,SCG0206,1,41874,***,문서보존상자 등 98종,물품,SCG,해군본부,2016-12-05 10:30,DE300,씨엠(주),cmm,이희석,070-4453-9559,070-4453-9559,070-4453-9559,충청남도 계룡시 엄사면 엄사중앙로97-0,88.1288,"5,132,600",해군,
15,SCG0205,1,41734,***,복사용지 등 111종,물품,SCG,해군본부,2016-12-05 10:30,H94CB,아름종합상사,dkfmawhdgkqtkdtk,한아름,042-633-1395,042-633-1395,042-633-1395,"충청남도 계룡시 새터산길4, 102호 (금암동)",88.0777,"3,396,800",해군,
14,SCP0210,1,41857,***,복사용지 등 11종 구매,물품,SCP,제8385부대,2016-12-05 10:30,F9946,금성종합상사,GEUM SUNG JONG HAB SANG SA,김봉기,02-2631-8972,02-2631-8972,02-2631-8972,강원특별자치도 동해시 동호4길4-0 (발한동),88.2168,"10,027,000",해군,
31,SCH0331,1,41758,***,칸막이 진열장 등 2종 제작 납품,물품,SCH,해군작전사령부,2016-12-05 10:30,F81B9,한울BS(이브자리),HANOULBS,임금선,051-553-1656,051-553-1656,051-553-1656,부산광역시 동래구 충렬대로107번길102 (온천동),88.0035,"6,370,800",해군,
22,MDJ0019,1,41651,***,일반의약품 141종 구매,물품,MDJ,국군대전병원,2016-12-05 10:30,E1934,(주)윌로우팜,,임공호,28311310,28311310,02-831-1310,"서울특별시 영등포구 여의대방로43라길6-0 (신길동, 신길프라자)",88.0518,"38,562,100",기타,
98,SFC0221,1,42241,***,3KW 발전기 등 3품목 구매(16-283호),물품,SFC,제9691부대,2016-12-05 10:30,H041E,주식회사 시스텍,"systec co,.Ltd.",고윤안,070-8709-0666,070-8709-0666,070-8709-0666,"경기도 안성시 대덕면 서동대로4726, 중앙대학교 생활과학관 609관 2층",88.0174,"10,700,800",해병,
13,LPM0037,1,42230,***,영내 설치용 태양광가로등 구매,물품,LPM,제9보병사단사령부,2016-12-05 10:30,G9F2D,모리테크,MORI TECH. CO,임소영,031-818-6032,031-818-6032,031-818-6032,"경기도 고양시 덕양구 토당로115-0 (토당동, 금호프라자) 121호",88.1024,"9,792,392",육군,
16,LPM0036,1,42226,***,ATCIS 전산용품 구매(244개),물품,LPM,제9보병사단사령부,2016-12-05 10:30,GED7B,이지프라자,easyplaza,김형규,7088098710,7088098710,070-8809-8710,"경기도 고양시 일산동구 백석로108번길59-15, 1층 (백석동)",88.046,"5,646,340",육군,2종-통신물자
29,SCN0346,2,40458,***,철판 등 9종,물품,SCN,제7001부대,2016-12-05 10:30,H9D6A,대하종합상사,daeha GTC,양성규,055-551-9824,055-551-9824,055-551-9824,경상남도 창원시 진해구 여명로51-0 (여좌동) 1층,88.0854,"2,597,140",육군,
38,SCN0345,2,40456,***,벙커레이크 등 6종,물품,SCN,제7001부대,2016-12-05 10:30,H9D6A,대하종합상사,daeha GTC,양성규,055-551-9824,055-551-9824,055-551-9824,경상남도 창원시 진해구 여명로51-0 (여좌동) 1층,98.8784,"5,700,000",육군,
53,SCN0344,2,40452,***,차양망 등 12종,물품,SCN,제7001부대,2016-12-05 10:30,H9F30,다림테크,dalim tech,정병윤,552992866,552992866,055-299-2866,경상남도 창원시 마산회원구 석전남23길7-0 (석전동),95.9534,"4,262,650",육군,
29,SCN0351,1,42213,***,UTP케이블 등 13종 구매,물품,SCN,제7001부대,2016-12-05 10:30,B8361,(주)원진,,유원일,055-543-4201,055-543-4201,055-543-4201,경상남도 창원시 진해구 진해대로976번길6-4 (자은동),98.48,"3,875,000",육군,
52,SFD0169,1,42209,***,적외선 IP카메라 등 4종,물품,SFD,제9227부대,2016-12-05 10:30,FBC90,인켈정보통신 주식회사,inkelpa Co. Ltd,장은선,542776144,542776144,054-277-6144,경상북도 포항시 북구 흥해읍 삼흥로501번길24-38,88.1449,"12,516,000",해병,
63,SFC0219,1,42188,***,LCD전용카피홀더 등 75품목(16-376호),물품,SFC,제9691부대,2016-12-05 10:30,GEE84,불토스,firetos,조순덕,031-965-4380,031-965-4380,031-965-4380,"경기도 고양시 덕양구 마상로97-18, 103동 501호(주교동, 나라블루빌)",88.0109,"2,697,500",해병,
100,SFC0218,1,42178,***,축전지등 25품목(16-300호),물품,SFC,제9691부대,2016-12-05 10:30,E2454,엑스포인트,EXPOINT,이인수,0505-815-1881,0505-815-1881,0505-815-1881,"경기도 성남시 분당구 야탑동285-9, 101호",88.0144,"4,021,720",해병,2종-통신물자
619,LHD0021,1,42036,***,제설용 송풍기 구매,물품,LHD,제21보병사단,2016-12-05 10:30,GA332,플러스상사,Plus sang-sa,김설옥,010-9219-6530,010-9219-6530,010-9219-6530,경기도 의왕시 복지로98-0 (내손동),88.0016,"32,828,520",육군,
36,MDF0032,1,42039,***,GPS 전파교란 탐지시스템 보안장치 구매사업,물품,MDF,국군지휘통신사령부,2016-12-05 10:30,H6C3A,신비코리아,SIN BEE KOREA,정유정,010-5184-7878,010-5184-7878,010-5184-7878,인천광역시 남구 매소홀로561번길10-44 (문학동),88.0163,"8,749,190",국방부직할,2종-화생방물자
145,SFC0215,1,42022,***,NVR(16CH) 등 6품목(16-364호),물품,SFC,제9691부대,2016-12-05 10:30,G9B7F,주영,JooYoung,김재우,010-9255-8291,010-9255-8291,010-9255-8291,경기도 가평군 청평면 잠곡로10-0,88.1523,"12,668,060",해병,
123,SFC0214,1,42021,***,복사용지 84품목(16-388),물품,SFC,제9691부대,2016-12-05 10:30,H38AD,소망상사,SOMANG TRADING,조명애,315292842,315292842,031-529-2842,경기도 남양주시 별내면 용암비루개길140-0,88.0823,"4,235,100",해병,
94,SFC0213,1,42018,***,황봉투 등 32품목(16-394호),물품,SFC,제9691부대,2016-12-05 10:30,EFF19,오빌종합,ophir,윤용채,031-544-4888,031-544-4888,031-544-4888,경기도 포천시 가산면 우금길238-0,88.0239,"3,199,160",해병,
145,SFC0212,1,42017,***,복사용지 등 48품목(16-373호),물품,SFC,제9691부대,2016-12-05 10:30,GF9D0,주식회사 엠피알 코리아,"MPR KOREA CO.,LTD",김승호,031-994-2672,031-994-2672,031-994-2672,경기도 고양시 덕양구 충장로140 (행신동) 4층 402호,88.0209,"4,905,160",해병,
21,LHN0069,1,41587,***,파렛트 구매,물품,LHN,제7보병사단,2016-12-05 10:30,C02A3,우수이앤씨주식회사,woosu,배영자,332611943,332611943,033-261-1943,강원특별자치도 춘천시 신동로51-0 (신동),88.0086,"6,108,700",육군,
54,SDL0027,1,41496,***,어린이집 주방용품 구매(수저통 등 88종),물품,SDL,재경근무지원대대,2016-12-05 10:30,F163C,자이온솔루션주식회사,"Zion Solution, Inc.",손현석,25970980,25970980,02-597-0980,서울특별시 금천구 가산디지털1로165 (가산동) 가산비지니스센터 804호,88.0926,"3,938,346",육군,
19,UAZ0052,1,41523,***,장식장 등 2종 구매,물품,UAZ,합동군사대학교,2016-12-05 10:30,F2317,건양체육산업,kyonyangsports,오정택,428633409,428633409,042-863-3409,"대전광역시 유성구 은구비남로13-0 (지족동, SK허브) 405호",88.0929,"4,738,000",기타,
21,UAZ0051,1,41522,***,밥솥 등 2종 구매,물품,UAZ,합동군사대학교,2016-12-05 10:30,HAEA9,샬롬,shalom,김경숙,010-7746-0606,010-7746-0606,010-7746-0606,대전광역시 중구 문창로66번길10-0 (문창동),88.1876,"22,011,550",기타,
16,LPM0035,1,42214,***,합판 등 군수비품 5종 구매,물품,LPM,제9보병사단사령부,2016-12-05 10:30,HAC2E,국제,kookjea,이현규,070-7670-2597,070-7670-2597,070-7670-2597,경기도 고양시 일산동구 성석로57-3 (중산동),88.0055,"16,916,100",육군,2종-병참물자
63,SFD0170,1,42215,***,화이트보드 등 154종,물품,SFD,제9227부대,2016-12-05 10:30,G2D1D,중앙종합상사,jungang jonghab sangsa,박태석,054-335-2275,054-335-2275,054-335-2275,경상북도 영천시 고경면 창하리679-4 (호국로 429),88.0483,"41,255,800",해병,
161,SFC0220,1,42211,***,바운더리 마이크 등 39품목 구매,물품,SFC,제9691부대,2016-12-05 10:30,H0332,주식회사 유진씨엔씨,"YOO JIN C&C Co.,Ltd",조은진,25841041,25841041,02-584-1041,경기도 포천시 가산면 가산로240번길3-1,88.0007,"20,957,170",해병,
66,SFL0151,1,42204,***,복사용지 등 141품목 구매,물품,SFL,제3283부대,2016-12-05 10:30,E7E14,(주)누리숲,nurisup,강지연,7087163337,7087163337,070-8716-3337,경상북도 영천시 금호시장길10-2 (금호읍),88.0164,"12,158,290",육군,
136,LNC0001,1,42186,***,16-4차 전산운영용품 구매,물품,LNC,제2067부대,2016-12-05 10:30,F425A,모든C앤C,MODEUN CandC,김성진,010-4716-3736,010-4716-3736,010-4716-3736,경기도 고양시 일산동구 장항동삼성라끄빌 516호,88.4034,"12,573,780",육군,2종-통신물자
205,SFC0217,1,42026,***,산업용UPS배터리 등 84품목(16-360호),물품,SFC,제9691부대,2016-12-05 10:30,GF3AE,씨엘컴퍼니,CLCOMPANY,최은희,070-7309-5997,070-7309-5997,070-7309-5997,"경기도 부천시 원미구 삼작로256번길16-0 (도당동, 우남아파트) 나동 102호",88.0015,"18,834,000",해병,2종-통신물자
198,SFC0216,1,42024,***,스테플러 등 112품목 (16-282호),물품,SFC,제9691부대,2016-12-05 10:30,H8094,하이드림,HIDREAM,심응민,1038795310,1038795310,010-3879-5310,경기도 남양주시 별내면 청학로68-23  309동1302호,88.0192,"6,626,230",해병,
312,MCR0023,1,41762,***,국내 도서 구매(7차),물품,MCR,국방대학교,2016-12-05 10:30,D4BFA,이지북스,easybooks,김애자,318144720,318144720,031-814-4720,"경기도 고양시 일산동구 호수로 336, 102동 903호(백석동, 브라운스톤오피스텔)",90.0014,"16,521,200",국방부직할,
159,SFC0210,1,42011,***,DC11C6550/Toner Black 등 11품목 구매(16-357호),물품,SFC,제9691부대,2016-12-05 10:30,H0239,주연ICT,JUYEONICT,이주연,070-4789-0055,070-4789-0055,070-4789-0055,경기도 파주시 중앙로279-0 (아동동),88.0264,"10,370,409",해병,
39,SFC0211,1,42014,***,도서(나를 바꾸는 심리학의 지혜 등 28품목)(16-293),물품,SFC,제9691부대,2016-12-05 10:30,F9025,한국통상,koreatrade,이정협,1072547070,1072547070,010-7254-7070,"경기도 용인시 기흥구 동백8로9, 1701동 501호(동백동, 호수마을 자연앤 데시앙)",90.0003,"475,830",해병,
84,SFC0209,1,42008,***,PLOTTER Paper 등 8종(16-358호),물품,SFC,제9691부대,2016-12-05 10:30,H9270,주식회사백운,BAKWOON,김민지,7073336899,7073336899,070-7333-6899,경기도 의정부시 경의로70-0 (의정부동) 5층 A628호,88.0192,"10,017,700",해병,
343,SFC0208,1,42006,***,SFTP 케이블 구매(16-387호),물품,SFC,제9691부대,2016-12-05 10:30,FBE57,주식회사 다승텔레콤,daseung telecom,최미자,313260261,313260261,031-326-0261,"경기도 용인시 처인구 포곡읍 부곡로41-0, 에이동 2층",88.0315,"25,164,364",해병,
320,SFC0207,1,42005,***,UTP 케이블 구매(16-383호),물품,SFC,제9691부대,2016-12-05 10:30,H199D,피엠코리아,pmkorea,김은미,010-9905-9808,010-9905-9808,010-9905-9808,"경기도 포천시 소흘읍 호국로287번길9-24, 2-202",88.0083,"36,110,800",해병,
208,SFC0204,1,41999,***,전자레인지 등 5품목(16-375호),물품,SFC,제9691부대,2016-12-05 10:30,FB4C4,비즈드림,BizDream,노재신,02-1661-7716,02-1661-7716,02-1661-7716,"경기도 부천시 원미구 상동로117번길31, 302호 일부(302-1호)(상동, 대림타운)",88.0249,"16,975,900",해병,
2,LHN0071,1,42034,***,동케이블 등 3종 구매계약,물품,LHN,제7보병사단,2016-12-05 10:30,G5531,전우사,jeon-wo-sa,방만석,334421366,334421366,033-442-1366,강원특별자치도 화천군 화천읍 상승로42-10,88.0718,"31,000,000",육군,
20,LKM0074,1,42317,***,재투자 정보통신운영용품 구매(16종),물품,LKM,제2632부대,2016-12-05 10:30,D910F,웅진,,안남순,7070961273,7070961273,070-7096-1273,전북특별자치도 전주시 완산구 장승배기로261-0 (평화동1가),88.2668,"17,162,380",육군,
5,SCH0324,2,39846,***,넥게이터 등 5종,물품,SCH,해군작전사령부,2016-12-05 10:30,GD8C6,백산,BAEK SAN,백용성,010-4584-3365,010-4584-3365,010-4584-3365,경상남도 창원시 진해구 웅천동로100 (남문동),85.1343,"45,728,000",해군,
15,SCG0204,1,41420,***,근속 30주년 기념휘장 등 5종 제조,물품,SCG,해군본부,2016-12-05 10:30,F8027,좋아실업 주식회사,joha,박재홍,318670032,318670032,031-867-0032,경기도 동두천시 승전로40-0 (하봉암동),88.2618,"52,412,700",해군,
