Unnamed: 0,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),ss,낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 ,카테고리
6604,2,EHC0064,1,1B84A,2,불고기용혼합양념(쇠고기용),물품,EHC,급식유류계약팀,2016-04-20 13:00,3293F,주식회사 체리푸드,"DongYangFoodsco.,Ltd",장상산,543319171,543319171,054-331-9171,경상북도 영천시 금호읍 금창로165-0,94.6105,2435 ,1종
6605,17,MDR0023,1,9696,***,1인승 모터뱃트 셋 구매,물품,MDR,제9965부대,2016-04-20 11:30,H5E57,이노디자인,innodesign,박기범,010-2559-3166,010-2559-3166,010-2559-3166,부산광역시 연제구 거제대로108번길44-0 (거제동),84.1747,96638216 ,9종
6606,2,EGG0022,1,5328S,***,16년 전술훈련용수류탄,물품,EGG,유도무기계약팀 (구:19.09.16),2016-04-20 11:01,0180F,한국씨앤오테크(주),"KOREA C.N.O. Tech. Co., Ltd.",오세홍,545507600,545507600,054-550-7600,경상북도 문경시 영순면 새갓길20-0,85.7466,11994290000 ,미분류
6607,9,HCF0057,1,9538,***,"핸들링 돌리, 중앙 외부 연료 탱크용 제조",물품,HCF,공군군수사령부,2016-04-20 11:00,G4868,에스엘티,SLT,권용화,053-358-3600,053-358-3600,053-358-3600,대구광역시 북구 노원로1길15-0 (노원동3가),88.0367,35359500 ,3종
6608,54,MDD0021,2,5536,***,의무장비(4차) 환자체온조절기 자동식(물타입) 구매,물품,MDD,국군수도병원,2016-04-20 11:00,B7F8E,한스메디칼,HANS MEDICAL,한재희,031-346-3093,031-346-3093,031-346-3093,"경기도 군포시 번영로514, 601호(금정동)",98.2855,33233000 ,7종
6609,55,MDD0023,2,5532,***,의무장비(4차) 수액조절기 일반용(3ch) 구매,물품,MDD,국군수도병원,2016-04-20 11:00,B7F8E,한스메디칼,HANS MEDICAL,한재희,031-346-3093,031-346-3093,031-346-3093,"경기도 군포시 번영로514, 601호(금정동)",97.3813,35665480 ,7종
6610,27,UMM0219,1,9768,***,13-본-국대-01 00학교이전 목재데크 제조,물품,UMM,국군재정관리단,2016-04-20 11:00,FD085,서문팀버 주식회사,SEOMUN TIMBER corp.,이동건,316895585,316895585,031-689-5585,경기도 김포시 대곶면 대곶서로1-34,87.9965,103215500 ,4종
6611,24,UMM0216,1,9399,***,특정기능성 방한복 제조,물품,UMM,국군재정관리단,2016-04-20 11:00,FC115,대 흥 E N T,Dae heung E N T,이혜진,070-8793-1008,070-8793-1008,070-8793-1008,대구광역시 달서구 감삼길68-0 (감삼동),88.0357,64381710 ,2종
6612,2,UMM0205,2,8871,***,항공기 유도차 제조,물품,UMM,국군재정관리단,2016-04-20 11:00,F6136,세화자동차 주식회사,"SEHWA MOTORS CO.,LTD",김동근,313557041,313557041,031-355-7041,경기도 화성시 남양읍 현대기아로183번길11-33,88.749,167854000 ,4종
6613,25,UMM0218,1,8738,***,00학교 이전 무정전전원장치(UPS) 제조설치,물품,UMM,국군재정관리단,2016-04-20 11:00,BB8F7,주식회사 세진파워텍,"SEJIN POWERTEK., LTD",양수미,635478853,635478853,063-547-8853,전북특별자치도 부안군 보안면 농공단지길30 (줄포농공단지),87.9955,328165000 ,4종
6614,2,UMM0212,1,8543,***,사격장 방송장비시스템 제조설치,물품,UMM,국군재정관리단,2016-04-20 11:00,GD9B3,(사)한국지체장애인협회 영상음향사업소,KAPPD,황재연,313734622,313734622,031-373-4622,경기도 오산시 역광장로77-0 (오산동) 광산빌딩 2층(201호~203호),88.2624,112419420 ,4종
6615,1,UMM0194,1,8115,***,기동형 고성능 확성기 제조납품,물품,UMM,국군재정관리단,2016-04-20 11:00,2587F,(주)인터엠,INTERM Corporation,조남용,318607111,318607111,031-860-7111,경기도 양주시 화합로1402번길 731층(덕정동),90.5296,6814500000 ,4종
6616,1,UMM0193,1,8114,***,고정형 고성능 확성기 제조설치,물품,UMM,국군재정관리단,2016-04-20 11:00,2587F,(주)인터엠,INTERM Corporation,조남용,318607111,318607111,031-860-7111,경기도 양주시 화합로1402번길 731층(덕정동),93.0429,9785600000 ,4종
6617,14,UMM0193,2,7470,***,탄약 적송용 결박목재 3종 제조,물품,UMM,국군재정관리단,2016-04-20 11:00,1900F,전일목재산업 주식회사,JEONIL TIMBER,김병진,635453131,635453131,063-545-3131,전북특별자치도 김제시 백구면 금백로1138-0,88.0048,275081200 ,4종
6618,9,SFH0049,1,9695,***,팝업플래그 오피스팩 등 226품목,물품,SFH,제9196부대,2016-04-20 11:00,EB8A9,태경산업,,유경자,032-541-1360,032-541-1360,032-541-1360,인천광역시 계양구 계산동1084-3은행마을태산아파트 422-1206,88.0348,12237767 ,미분류
6619,7,SDF0044,1,9871,***,의약품(베루말액 등 141종)구매,물품,SDF,제5738부대,2016-04-20 11:00,E21ED,(주)석호약품,Seokho Pharm,조민석,233944395,233944395,02-3394-4395,"서울특별시 동대문구 천호대로83길84-0 (장안동,일화빌딩 지층)",85.2998,85600000 ,8종
6620,5,LCF0151,1,9582,***,"망원경,엘보형 등 5항목 구매(총포)",물품,LCF,육군군수사령부,2016-04-20 11:00,GC7C8,보고통상,BOGO7970,곽현경,051-329-8400,051-329-8400,051-329-8400,"부산광역시 사상구 대동로303-0 (감전동, 부산디지털밸리아파트형공장) B111호",88.1415,119836800 ,미분류
6621,5,LCF0147,1,9574,***,단발자 등 29항목 제조,물품,LCF,육군군수사령부,2016-04-20 11:00,G90BE,주식회사 에스피스틸,SP STEEL LTD.CO,윤영희,055-345-2037,055-345-2037,055-345-2037,경상남도 김해시 한림면 장방로232-25,88.5342,88782000 ,4종
6622,6,LCF0146,1,9572,***,"스페이서,판형 등 67항목 제조",물품,LCF,육군군수사령부,2016-04-20 11:00,2476F,용진H&C,YONGJIN H&C,김인숙,515232888,515232888,051-523-2888,부산광역시 금정구 동천로7번길 2(),88.0754,118220000 ,4종
6623,4,LCF0144,1,9562,***,배선장치 등 42항목 제조,물품,LCF,육군군수사령부,2016-04-20 11:00,G90BE,주식회사 에스피스틸,SP STEEL LTD.CO,윤영희,055-345-2037,055-345-2037,055-345-2037,경상남도 김해시 한림면 장방로232-25,88.2422,56124000 ,4종
6624,9,LCF0143,1,9558,***,방수포 등 14항목 제조,물품,LCF,육군군수사령부,2016-04-20 11:00,CAA21,미도상사,mddo,전윤하,042-471-2892,042-471-2892,042-471-2892,대전광역시 서구 월평서로25번길48-0 (월평동),88.206,70075050 ,4종
6625,5,HDG0016,1,9334,***,페인트 등 4종 구매 (16-62),물품,HDG,공군제10전투비행단,2016-04-20 11:00,0301F,대화페인트공업 주식회사,"DaeHwaPaint Mfg Co., Ltd.",이건택,314912041,314912041,031-491-2041,경기도 안산시 단원구 신원로 190(성곡동),88.601,63090056 ,4종
6626,21,HCM0020,1,9923,***,16-055 악기(트렘펫 등 4종) 구매,물품,HCM,공군교육사령부,2016-04-20 11:00,H4D73,필립아이앤씨,phillip inc.,고재호,02-6085-9696,02-6085-9696,02-6085-9696,서울특별시 영등포구 문래북로31-1 (양평동1가) 4층,88.0282,36069780 ,2종
6627,5,HCM0018,1,9918,***,16-071 시설자재 (수도가랑 등 51종) 구매,물품,HCM,공군교육사령부,2016-04-20 11:00,H431D,웰메이딩스틸산업,wellmadingsteel,박철진,055-753-5055,055-753-5055,055-753-5055,경상남도 진주시 상평동303-2,88.1517,39227369 ,4종
6628,7,HCM0017,1,9916,***,16-065/082 취사용품 (염도측정기 등 95종) 구매,물품,HCM,공군교육사령부,2016-04-20 11:00,F4F4B,한빛티엠,hanbit tm,장정미,010-6835-0133,010-6835-0133,010-6835-0133,"경상남도 창원시 마산회원구 양덕로65-0 (양덕동, 타코마 가동 503호)",88.2442,39557000 ,7종
6629,4,HCM0016,1,9907,***,16년 장교간부식당 김치류 2종 구매,물품,HCM,공군교육사령부,2016-04-20 11:00,C8DD8,송이식품,Songee Food,문상대,557460916,557460916,055-746-0916,경상남도 진주시 대곡면 널방재길306-0,89.3086,50163150 ,1종
6630,4,HCM0015,1,9883,***,16년 장교간부식당 식자재 구매,물품,HCM,공군교육사령부,2016-04-20 11:00,E849F,(주)아워홈 영남영업소,"OURHOME CO.,LTD.",김태원,553809929,553809929,055-380-9929,경상남도 양산시 어곡공단1길134-0 (어곡동),84.6536,456460297 ,1종
6631,3,HCF0063,1,9676,***,패트리어트 차량 수리부속 100종 구매,물품,HCF,공군군수사령부,2016-04-20 11:00,G23E6,주식회사 아테마,"ATEMA Co., Ltd.",박영춘,031-708-9111,031-708-9111,031-708-9111,경기도 성남시 분당구 황새울로307-0 (서현동) 시그마파크 905호,87.9791,158502290 ,9종
6632,2,HCF0059,1,9554,***,에어 덕트 커버 등 161종,물품,HCF,공군군수사령부,2016-04-20 11:00,B96E1,희망테크,HOPE CO,김경호,053-604-1891,053-604-1891,053-604-1891,"대구광역시 북구 유통단지로16, (산격동, 산업용재관) 2-19호",89.627,30930000 ,미분류
6633,6,HCF0058,1,9551,***,제어 장치 판넬 등 10종 제조,물품,HCF,공군군수사령부,2016-04-20 11:00,CD9C9,창진ENG(주),CHANG JIN ENG,김경익,553649963,553649963,055-364-9963,경상남도 양산시 상북면 석계산단3길59-0,86.4584,398776000 ,4종
6634,3,HCF0064,1,9682,***,전자모듈 등 9종 구매,물품,HCF,공군군수사령부,2016-04-20 10:30,H3822,주시회사 제이엠텍,"JM Tech Co,, Ltd.",김우곤,055-259-5270,055-259-5270,055-259-5270,경상북도 구미시 오태8길51-10 (오태동),85.3331,47710000 ,9종
6635,22,SFN0048,1,9929,***,일양 디세텔 정 등 266종,물품,SFN,연평부대,2016-04-20 10:30,G699D,바른약품 주식회사,barunpharm,김민현,324336663,324336663,032-433-6663,"인천광역시 연수구 테크노파크로111번길8, 5층 (송도동, 송도에스타워)",88.4521,12592290 ,미분류
6636,97,SFN0042,1,9803,***,삼파장램프 등 97종 구매,물품,SFN,연평부대,2016-04-20 10:30,H03AD,핀헌터,kijoonsun,김현선,010-2244-7758,010-2244-7758,010-2244-7758,경기도 김포시 대곶면 약암로979-3,88.0067,40425580 ,미분류
6637,86,SFN0043,1,9805,***,알루미늄 파이프렌치 등 98종 구매,물품,SFN,연평부대,2016-04-20 10:30,G72DA,주식회사 제이케이,(주)제이케이,전동성,032-429-4001,032-429-4001,032-429-4001,인천광역시 남구 한나루로534-0 (주안동),88.0326,36847000 ,4종
6638,95,SFN0045,1,9812,***,유압호수 등 152종 구매,물품,SFN,연평부대,2016-04-20 10:30,CD221,네오종합상사,neo general company,옥인교,031-433-0937,031-433-0937,031-433-0937,경기도 시흥시 오이도8길17-0 (정왕동),88.0054,29779860 ,미분류
6639,94,SFN0046,1,9856,***,HP 잉크카트리지 등 128종,물품,SFN,연평부대,2016-04-20 10:30,GEBB8,성민산업,성민산업,이옥조,010-7276-8087,010-7276-8087,010-7276-8087,"인천광역시 중구 하늘별빛로66-0 (중산동, 영종힐스테이트)902동501호",88.2966,38176726 ,10종
6640,83,SFN0047,1,9867,***,타이어 등 266종 구매,물품,SFN,연평부대,2016-04-20 10:30,H07A6,비앤비(B&B),B&B,김동희,010-6257-5780,010-6257-5780,010-6257-5780,인천광역시 중구 반달로20번길37-1(북성동1가),88.1813,34477800 ,9종
6641,4,SDG0019,1,9898,***,일회용 세면도구 구매,물품,SDG,제2002부대,2016-04-20 10:30,H3B86,진성기업,jinsung,권지혜,02-780-3696,02-780-3696,02-780-3696,경기도 파주시 중앙로279-0 (아동동) 403호,88.1822,1730080 ,6종
6642,26,SCH0098,1,10019,***,허브 등 105종,물품,SCH,해군작전사령부,2016-04-20 10:30,F1957,KE테크,KE TECH,김광진,512616512,512616512,051-261-6512,부산광역시 강서구 유통단지1로50-0 (대저2동),88.0572,25108270 ,미분류
6643,9,SCP0066,1,9984,***,핸드워시 등 202종 구매,물품,SCP,제8385부대,2016-04-20 10:30,FA82A,오피스상사,office corporation,김장호,033-532-9865,033-532-9865,033-532-9865,강원도 동해시 발한천길12-1 (발한동),88.2961,5275400 ,미분류
6644,92,SFN0041,1,9793,***,체력검정용위몸일으키기대 등 462종,물품,SFN,연평부대,2016-04-20 10:30,DAF18,그리마,GREEMA,이양숙,327721945,327721945,032-772-1945,인천광역시 동구 화도로29-0 (화수동)2층,88.0141,39154000 ,10종
6645,20,SFG0046,1,9832,***,눈삽 등 4종,물품,SFG,제9181부대,2016-04-20 10:30,H4D73,필립아이앤씨,phillip inc.,고재호,02-6085-9696,02-6085-9696,02-6085-9696,서울특별시 영등포구 문래북로31-1 (양평동1가) 4층,83.4154,30667580 ,4종
6646,26,SCL0021,1,9601,***,멀티 부품함 등 423종 구매,물품,SCL,해군사관학교,2016-04-20 10:30,G81BB,가나안상사,canaan,서은숙,1028422250,1028422250,010-2842-2250,강원특별자치도 동해시 전천로273-15 (북평동) 103-1호,88.7478,19481130 ,9종
6647,3,LCK0009,1,9960,***,00지역 구매품류 구매,물품,LCK,수도방위사령부,2016-04-20 10:30,EBBD5,(주)성원,"SUNG WON CO.,LTD.",정민철,315270780,315270780,031-527-0780,경기도 남양주시 진접읍 부마로106번길148-2,88.2853,43060000 ,미분류
6648,7,LCF0138,1,8931,***,"플랜지,조정용 등 12항목 제조(기장)",물품,LCF,육군군수사령부,2016-04-20 10:30,DD6C3,주식회사 태현정공,TAEHYUN PRECISION INDUSTRY,최병근,032-772-2281,032-772-2281,032-772-2281,인천광역시 서구 보듬로181(오류동),88.2875,33441200 ,4종
6649,3,LCF0137,1,8107,***,"로프,와이어제 등 196항목 제조(기장)",물품,LCF,육군군수사령부,2016-04-20 10:30,2157F,평화정밀,PYEONG HWA PRECISION Co.,조현배,051-941-8491,051-941-8491,051-941-8491,부산광역시 강서구 미음산단3로120-0 (미음동),87.6087,621740000 ,2종
6650,5,LCF0135,1,7980,***,"밸브,볼형  등 14항목 구매(기장)",물품,LCF,육군군수사령부,2016-04-20 10:30,2157F,평화정밀,PYEONG HWA PRECISION Co.,조현배,051-941-8491,051-941-8491,051-941-8491,부산광역시 강서구 미음산단3로120-0 (미음동),88.2584,19021000 ,4종
6651,3,LCF0140,1,6619,***,"패킹,성형식 등 99항목 제조(기장)",물품,LCF,육군군수사령부,2016-04-20 10:30,G31C7,제이엔씰테크,jnsealtech,조선영,513234696,513234696,051-323-4696,부산광역시 사상구 모덕로27번길34-0 (삼락동),88.5369,36820436 ,4종
6652,3,LCF0141,1,6611,***,"리드선,축전지용 등 50항목 제조(기장)",물품,LCF,육군군수사령부,2016-04-20 10:30,FC913,주식회사 디와이콤,dycom,문덕쇠,055-903-0337,055-903-0337,055-903-0337,경상남도 김해시 주촌면 서부로1637번길149-0,88.0602,64792000 ,4종
6653,2,EGC0017,1,470,***,MTU엔진 일반부품(규격),물품,EGC,함정계약팀 (구:19.09.16),2016-04-19 17:00,H0212,하이큐엔텍,High Quality & Technolgy,조재욱,070-4699-7333,070-4699-7333,070-4699-7333,경상남도 창원시 마산회원구 봉암공단4길113-0 (봉암동),87.2541,580000000 ,9종
6654,7,EGF0011,1,3026,***,박격포 짐판,물품,EGF,기동화력계약팀 (구:19.09.16),2016-04-19 15:00,0735F,창성기업,CHANGSUNG CO. KR,이민구,031-768-7313,031-768-7313,031-768-7313,경기도 광주시 태봉로42번길25-0 (태전동),85.9877,340758000 ,7종
6655,3,EHC0076,1,1931A,4,햄슬라이스,물품,EHC,급식유류계약팀,2016-04-19 15:00,2241F,(주)태림에프웰,"Taelim F.well Co.,Ltd.",박형준,7049472494,7049472494,070-4947-2494,경기도 김포시 통진읍 율마로450번길6-5,91.1548,9194 ,1종
6656,4,EHC0076,1,1931A,3,햄슬라이스,물품,EHC,급식유류계약팀,2016-04-19 15:00,2241F,(주)태림에프웰,"Taelim F.well Co.,Ltd.",박형준,7049472494,7049472494,070-4947-2494,경기도 김포시 통진읍 율마로450번길6-5,91.4056,9194 ,1종
6657,4,EHC0076,1,1931A,2,햄슬라이스,물품,EHC,급식유류계약팀,2016-04-19 15:00,2241F,(주)태림에프웰,"Taelim F.well Co.,Ltd.",박형준,7049472494,7049472494,070-4947-2494,경기도 김포시 통진읍 율마로450번길6-5,91.0053,9194 ,1종
6658,4,EHC0076,1,1931A,1,햄슬라이스,물품,EHC,급식유류계약팀,2016-04-19 15:00,2241F,(주)태림에프웰,"Taelim F.well Co.,Ltd.",박형준,7049472494,7049472494,070-4947-2494,경기도 김포시 통진읍 율마로450번길6-5,91.6603,9194 ,1종
6659,4,EGF0005,2,5002B,***,"제동장치 부품류(전차, 장갑차용)",물품,EGF,기동화력계약팀 (구:19.09.16),2016-04-19 15:00,3121F,(주)우진정밀,"woojin precision co.,ltd.",김철곤,553235490,553235490,055-323-5490,경상남도 김해시 생림면 생림대로713번길4-0,87.7395,63868000 ,7종
6660,3,LCF0131,1,9413,***,육경정 GPS 어탐 1 항목 구매(물품),물품,LCF,육군군수사령부,2016-04-19 14:30,A99DA,대림통신(주),"DAERIM RADIO CO.,LTD.",이성진,512416003,512416003,051-241-6003,부산광역시 서구 충무대로255번길 9(),89.1647,6950800 ,2종
6661,6,LCF0132,1,9420,***,증류수제조기 1항목 구매(물품),물품,LCF,육군군수사령부,2016-04-19 14:30,D59D6,(주)명진클라비스,"MYUNG JIN CLAVIS CO., LTD",이영식,314770996,314770996,031-477-0996,"경기도 안양시 동안구 벌말로123, 802호(관양동, 평촌스마트베이)",88.296,21406368 ,2종
6662,49,LCG0027,1,9389,***,불교의식용 원백초 구매,물품,LCG,육군본부,2016-04-19 11:00,E4CFF,금강아이티,,박지훈,010-4398-2588,010-4398-2588,010-4398-2588,"경기도 김포시 김포한강11로227-0 (운양동, 풍경마을 래미안 한강2차)501-2003",88.7372,15427940 ,1종
6663,43,SFH0046,1,9526,***,타이어 압력게이지 등 445품목,물품,SFH,제9196부대,2016-04-19 11:00,EB8A9,태경산업,,유경자,032-541-1360,032-541-1360,032-541-1360,인천광역시 계양구 계산동1084-3은행마을태산아파트 422-1206,88.0419,56715492 ,9종
6664,113,UMM0214,1,9427,***,16-전술조끼 등 3종 구매,물품,UMM,국군재정관리단,2016-04-19 11:00,H5B14,말감컴퍼니,MALGAMCOMPANY,정수희,7077226608,7077226608,070-7722-6608,경기도 여주시 세종로58번길15 (창동),88.0452,79332809 ,미분류
6665,296,UMM0214,1,9402,***,K-3기관총 탄피받이 구매,물품,UMM,국군재정관리단,2016-04-19 11:00,EC391,(주)매싼커뮤니케이션,messan comunication,한기만,220608057,220608057,02-2060-8057,"서울특별시 금천구 가산디지털1로205, 9층 904호(가산동,케이씨씨웰츠밸리)",87.9984,69856003 ,5종
6666,3,UMM0213,1,8335,***,"마트 판매비품(냉장고,냉동고) 제조",물품,UMM,국군재정관리단,2016-04-19 11:00,EA4C4,주식회사 진우전자,"JINWOO ELECTRONICS CO.,LTD",이재정,313579011,313579011,031-357-9011,경기도 화성시 송산면 송산서로 150(),87.6448,242322300 ,2종
6667,40,UAB0003,1,9515,***,16년 체력단련장 경기도우미 하복 제조/구매,물품,UAB,국군복지단,2016-04-19 11:00,GA468,금호(주),KEUMHO,유서영,317588270,317588270,031-758-8270,경기도 성남시 수정구 헌릉로890번길47-14 (복정동) B01호,88.1397,26165050 ,4종
6668,43,SFH0046,2,9526,***,타이어 압력게이지 등 445품목,물품,SFH,제9196부대,2016-04-19 11:00,EB8A9,태경산업,,유경자,032-541-1360,032-541-1360,032-541-1360,인천광역시 계양구 계산동1084-3은행마을태산아파트 422-1206,88.0419,56715492 ,9종
6669,42,SFH0044,1,9522,***,Double-A 복사용지 등 391품목,물품,SFH,제9196부대,2016-04-19 11:00,CE4E1,전진교역 주식회사,jeonjin,이강수,325498111,325498111,032-549-8111,"인천광역시 계양구 서운산업로53-20 (서운동, 전진물류센터內)",88.0422,118978330 ,2종
6670,12,SCF0050,1,9148,***,00함 유압장비 정비,물품,SCF,해군군수사령부,2016-04-19 11:00,D16FE,주식회사 유일글로비스,"YUIL GLOBIZ CO., LTD",송석동,042-625-6636,042-625-6636,042-625-6636,대전광역시 대덕구 상서당1길22-0 (상서동),52.7433,47550000 ,9종
6671,8,LCG0028,1,9391,***,수사자료분석용 서버 구매설치,물품,LCG,육군본부,2016-04-19 11:00,H4EA6,주식회사엔지아이,nginfra,권수민,02-508-6677,02-508-6677,02-508-6677,"서울특별시 강남구 테헤란로4길15, 15층 1503호 (역삼동, 메가시티오피스텔)",87.9973,9574000 ,2종
6672,2,EGG0011,1,36,***,"플라스틱표적지(E,F형)",물품,EGG,유도무기계약팀 (구:19.09.16),2016-04-19 10:30,2022F,엔피씨 주식회사,National Plastic Company limited,나창엽,313618654,313618654,031-361-8654,경기도 용인시 수지구 신수로785-17 (동천동),87.4432,350300000 ,미분류
6673,117,SCH0097,1,9634,***,사제 폭발물처리 기자재 세트 구매,물품,SCH,해군작전사령부,2016-04-19 10:30,1369F,한진산업기계(주),"HANJIN INDUSTIAL M/C CO.,LTD",이신용,02-894-8640,02-894-8640,02-894-8640,"서울특별시 금천구 시흥대로 97, 유통상가 32-240(시흥동)",88.0385,5648310 ,10종
6674,162,SFC0071,1,10071,***,방안직자 등 846종 구매,물품,SFC,제9691부대,2016-04-19 10:30,FFA51,뮤 커뮤니케이션,Mu communication,한광석,070-4320-4786,070-4320-4786,070-4320-4786,경기도 안양시 만안구 박달로562-1 (안양동),88.0164,38216420 ,미분류
6675,30,SFC0069,1,10048,***,책상(야전용)품목 구매,물품,SFC,제9691부대,2016-04-19 10:30,E4CFF,금강아이티,,박지훈,010-4398-2588,010-4398-2588,010-4398-2588,"경기도 김포시 김포한강11로227-0 (운양동, 풍경마을 래미안 한강2차)501-2003",88.2516,1878580 ,2종
6676,8,SCR0043,1,9987,***,건조기 등 8종 구매,물품,SCR,해군제3함대사령부,2016-04-19 10:30,B9499,대건상사,DEA GUN.CO,이장현,061-244-8050,061-244-8050,061-244-8050,전라남도 목포시 삼학로123번길 24-1(산정동),88.3772,6647300 ,미분류
6677,13,SCR0044,1,10073,***,트라디오 펜 등 101종 구매,물품,SCR,해군제3함대사령부,2016-04-19 10:30,B976C,미래종합상사,,김성우,061-242-4941,061-242-4941,061-242-4941,전라남도 목포시 통일대로 48-1(),88.0264,2419000 ,미분류
6678,148,SCF0130,1,9790,***,턴버클 등 2종,물품,SCF,해군군수사령부,2016-04-19 10:30,H3BCA,자인비,JAINB,최명숙,7047970581,7047970581,070-4797-0581,경상남도 창원시 성산구 상남로75-0 (상남동)1917호,88.0051,20754000 ,미분류
6679,113,SCF0129,1,9789,***,"특수봉인지 1,708,900EA",물품,SCF,해군군수사령부,2016-04-19 10:30,H482B,케이-부영,K-BU YOUNG,이성섭,051-302-0930,051-302-0930,051-302-0930,부산광역시 사상구 낙동대로1318번길36-0 (삼락동),88.0049,6674200 ,미분류
6680,34,LKM0012,2,9251,***,위임27차 시설공사 자재구매,물품,LKM,제2632부대,2016-04-19 10:30,G6D44,SG산업,SGsanyeop,김수경,5020071125,5020071125,050-2007-1125,전북특별자치도 전주시 완산구 장승배기로261-0 (평화동1가) SG산업,88.3046,4737260 ,4종
6681,202,SCP0064,1,9822,***,필터백(260장) 구매,물품,SCP,제8385부대,2016-04-19 10:30,H1D21,나라통상,Nara trade,서영숙,055-275-4785,055-275-4785,055-275-4785,경상남도 창원시 성산구 중앙대로37-0 (중앙동) 경남오피스텔 2층 210호,88.0043,13377960 ,9종
6682,10,SCR0046,1,10076,***,보조배터리 구매,물품,SCR,해군제3함대사령부,2016-04-19 10:30,B976C,미래종합상사,,김성우,061-242-4941,061-242-4941,061-242-4941,전라남도 목포시 통일대로 48-1(),88.2654,4917000 ,9종
6683,81,LNP0001,1,9656,***,동원훈련장 병영식당 소요비품 구매,물품,LNP,제5808부대,2016-04-19 10:30,G8A1E,희망플러스,HEEMANGPLUS,정화선,032-765-8080,032-765-8080,032-765-8080,인천광역시 동구 화도로40-0 (화수동),88.0041,42839000 ,2종
6684,647,SCH0096,1,9628,***,사격장갑 등 2종,물품,SCH,해군작전사령부,2016-04-19 10:30,G38F2,(주)다린컴퍼니,Darin company,이혜진,619081000,619081000,061-908-1000,"전라남도 순천시 연향1로55, 상가2동 2층 201호(연향동, 부영아파트)",88.0035,9095840 ,2종
6685,5,SFL0054,1,9352,***,위장크림 구매,물품,SFL,제3283부대,2016-04-19 10:30,FF2ED,상주상사,sangjoo sangsa,김종미,070-4640-4538,070-4640-4538,070-4640-4538,경상북도 상주시 복룡동우방타운1차 103-1206,59.1138,4700000 ,미분류
6686,4,SFL0053,1,9262,***,좌식테이블 구매,물품,SFL,제3283부대,2016-04-19 10:30,C9430,오피스디포 포항점,Officedepot pohang,이호우,054-281-9001,054-281-9001,054-281-9001,경상북도 포항시 북구 중앙로 190-2(),78.4855,3690000 ,미분류
6687,2,SCQ0084,1,9351,***,오뚜기볼 등 75종 구매,물품,SCQ,제9911부대,2016-04-19 10:30,E5DAF,금호전기조명(주),kumho electtronic & lighting,김미숙,313940780,313940780,031-394-0780,경기도 군포시 당산로192번길2-0 (금정동) 101~103호,65.8182,10527000 ,미분류
6688,3,SCF0053,1,9703,***,함내재해무선통신체계(WIRAS-II) 정비,물품,SCF,해군군수사령부,2016-04-19 10:30,C4BAB,한양무선통신,HanYang radio communication,최영복,552551400,552551400,055-255-1400,경상남도 창원시 의창구 팔용로 399(),75.8083,34900000 ,9종
6689,20,SCF0048,1,8916,***,함정 상가대 대차휠 정비,물품,SCF,해군군수사령부,2016-04-19 10:30,EDE40,주식회사 태양테크,"TAE YANG TECH. CO.,LTD",최형규,552518123,552518123,055-251-8123,경상남도 창원시 마산회원구 봉암공단11길 51(),61.4407,88500000 ,9종
6690,34,LNF0004,1,9436,***,00부대 특수피복 구매,물품,LNF,제1보병사단,2016-04-19 10:30,H5F85,부성섬유,BUSUNG CO.,이민숙,02-491-4258,02-491-4258,02-491-4258,"서울특별시 중랑구 면목로373-0, 2층(면목동)",88.269,39461400 ,2종
6691,49,SFD0065,1,9895,***,디지털 상황판 중형 등 2종,물품,SFD,제9227부대,2016-04-18 17:00,H34E7,오상푸드시스템,ohsang food system,김경미,054-971-4264,054-971-4264,054-971-4264,경상북도 칠곡군 동명면 백송로829-0,88.1375,15395600 ,미분류
6692,4,EGFE004,1,6211,***,"연결축, 우측용",물품,EGF,기동화력계약팀 (구:19.09.16),2016-04-18 16:00,DD6C3,주식회사 태현정공,TAEHYUN PRECISION INDUSTRY,최병근,032-772-2281,032-772-2281,032-772-2281,인천광역시 서구 보듬로181(오류동),88.4467,37612960 ,미분류
6693,839,HCF0006,1,8902,***,LED 검사 작업대 등 17품목,물품,HCF,공군군수사령부,2016-04-18 15:00,GE81B,가빈,gabin,이명숙,50206346518,50206346518,050-20634-6518,"전북특별자치도 전주시 완산구 강변로98-0 (삼천동1가, 신일강변아파트)102동 1406호",88.0186,29293100 ,4종
6694,4,EHC0067,1,1907A,1,즉석쌀국수,물품,EHC,급식유류계약팀,2016-04-18 13:00,1750F,(주)미정,"MIJUNG.Co.,Ltd.",정재현,547757733,547757733,054-775-7733,"경상북도 경주시 안현로358-7 (현곡면, (주)미정)",90.014,670 ,1종
6695,4,EHC0067,1,1907A,4,즉석쌀국수,물품,EHC,급식유류계약팀,2016-04-18 13:00,0993F,(주)한스코리아,,정원호,329339114,329339114,032-933-9114,인천광역시 강화군 강화읍 충렬사로103-16,90.4063,669 ,1종
6696,4,EHC0067,1,1907A,3,즉석쌀국수,물품,EHC,급식유류계약팀,2016-04-18 13:00,1750F,(주)미정,"MIJUNG.Co.,Ltd.",정재현,547757733,547757733,054-775-7733,"경상북도 경주시 안현로358-7 (현곡면, (주)미정)",90.0842,670 ,1종
