입찰명,카테고리
배관 보수 등 9건 직영공사용 자재구매,4종
병영도서관 도서 구매,10종
16-4차 전산운영용품 구매,2종
자외선 램프,미분류
00부대이전 이사 용역,미분류
(조달)3훈비 작업대 등 8품목(16-3-227)구매,미분류
(조달)3훈비 트래픽페인트등 4품목(16-3-228) 구매,4종
(조달)3훈비 마이크등 4품목(16-3-221) 구매,미분류
백열램프 등 13종 구매,미분류
건전기 등 331종,미분류
케토락주 등 56품목 구매,미분류
'17년 00월력 제조 납품,미분류
유수분리시설 청소용역,미분류
군수업무 빅데이터 분석/활용체계 구축시범사업,미분류
벽선반 등 14종 구매,미분류
16-공-전자내시경 11EA 구매,미분류
폭발물 병기처리반용 원격조작세트 구매,미분류
개선 비행장갑(호수형) 제조납품,미분류
비닐봉투외 14종 구매,미분류
다목적훈련지원정 후속함(양산)사업 비용분석,미분류
소화기멜빵류,1종
요대류,미분류
철직자 등 1593종,미분류
특수공구류,9종
소켓렌치류,미분류
"제어기,비디오 분배기용 10EA",미분류
휘장류 및 견장류 제조 구매,미분류
벨트류 제조 구매,미분류
00복지관 설비제어 중앙감시시스템 교체 용역,미분류
토너(MLT-D101S) 등 44종 구매,2종
공사용 관급자재(스틸그레이팅) 제조/구매,미분류
케찹 등 109종 구매,미분류
의약품(네리소나 연고 등 89종)구매,8종
개인장구류커버,2종
일반/통신장비커버류,미분류
주요 선진국의 획득제도 사례분석을 통한 시사점 연구,10종
K9플러그등16종구매,미분류
발칸필터구매,9종
자동화창고 메인보드 등 27종 구매,미분류
오리콘 전기연료펌프등27종구매,3종
오리콘 접촉자세트등17종구매,미분류
엔진용윤활유,3종
체력단련장 비품 구매,미분류
00부대 제초관리 용역,미분류
13-본-국대-01 00학교이전 블록포장재 제조 납품,4종
"연삭기, 표면용 등 1종 구매",미분류
00부대 UPS 밧데리 구매설치,9종
해상 계류부이 제조 납품,미분류
인쇄용지(미색모조지)구매,미분류
국군교도소 운영 개선방안 연구,10종
군사시설 주변지역 지원방안 연구,4종
육로 수송용역,미분류
콩나물(제조 또는 구매),1종
특수무기(발칸) 수리부속 구매,9종
장비커버류(기동),미분류
통신용 송수신기 등 4종 구매,미분류
17년 생도 피복 구매(수영복 등 7건),2종
원형테이블 등 2종 구매,미분류
회로카드 조립체 2EA,미분류
"케이블, 전력용 2,296FT",4종
안테나 14EA,미분류
의약품(스틸녹스정외 20종) 구매,8종
FPL 등기구세트 등 46종 구매,미분류
`13-본-국대-01  00학교이전 능형망휀스 제조설치,미분류
'16-6차 항공기 견인차 등 2종 외주정비 용역,미분류
지상군페스티벌 버스 임차 용역,미분류
00지역 영상전송체계 노후장비 교체사업(10),미분류
00지역 영상전송체계 노후장비 교체사업(8),미분류
00지역 영상전송체계 노후장비 교체사업(6),미분류
00지역 영상전송체계 노후장비교체사업(9),미분류
00지역 영상전송체계 노후장비교체사업(11),미분류
00지역 영상전송체계 노후장비교체사업(7),미분류
16-UDT 신형방한복(상의)등 3종 제조,2종
출입통제체계용 철제울타리 제조설치,미분류
00부대 창고 신축공사 관급자재 분전반 제조 설치,4종
'16년 00부대 자료 대출반납 자동화장비 도입,미분류
00부대 냉난방기 구매설치,미분류
00부대 창고 신축공사 관급자재 냉난방기 구매 설치,미분류
16-충-육-1 수배전반 제조설치,미분류
16-충-육-1 건식제습기 제조설치,미분류
정비단 지브크레인 부품 설치납품,9종
MW전환체계 구축 부수장비 구매사업,미분류
"회전경보등, 적색 등 8종 구매",미분류
환수탱크 1종 구매,미분류
"나비밸브스텐,레버형 등 4종 구매",4종
종이컵 등 49종 구매,미분류
알루미늄환봉 등 16종 구매,미분류
메카니카씰 등 7종,미분류
'16년 4/4분기용 정보화 운용재료 구매,미분류
선박자동식별장치(AIS) 유지보수 정비,4종
16-입영신체검사 외주용역,미분류
신형짚(1/4)커버류,미분류
회전결합기(저고도탐지레이더용) 정비,미분류
의약품(168차) 구매,8종
대포병레이다 정비반 정비용장비 구매,미분류
니퍼 등 94종,미분류
형광램프외 36종 구매,미분류
배터리 2종 구매(2차),9종
16-포 전투근무지원정 외주정비,미분류
16-J-05 정수기 임차 용역,미분류
복사용지 329박스 구매,미분류
복사용지 구매,미분류
행주 등 70종 구매,미분류
충전 함마드릴 등 16종 구매,미분류
행정규격봉투 등 210종 구매,미분류
공기충전기 구매,미분류
"스위치,회전식 등 3종",미분류
"브이피시,콤플레트 등 2종",미분류
리모트콘트롤써킷브레이커 1종,미분류
영내 폐기물처리용역,미분류
"바,금속제등 27종(2-1)",미분류
16-소화펌프 250GPM 15EA 제조,미분류
런닝머신 등 9종 구매,미분류
중량매트등15품목,미분류
복사용지등2품목,미분류
"박판,금속제 등 64종(2-2)",미분류
"바,금속제등 27종(2-1)",미분류
국수 등 13종 구매,1종
멸치볶음 등 6종 구매,미분류
등갈비 등 5종 구매,미분류
두유 등 4종 구매,미분류
사과 등 3종 구매,미분류
레이저 거리측정기 등 2종 구매,7종
체력단련기구(런닝머신 등 14종) 구매,미분류
더블핀 일체형 보조배터리 등 2종,9종
"모듈, 정류기용 10EA",미분류
퓨즈 68EA,미분류
"장전기조립체,탄약용 1종",미분류
음파 수심 측정기등 3종,7종
메인보드 카드 등 3종,미분류
항공기 시동장비(편제장비보강사업) 사업분석,7종
M2장간조립교 외주정비 용역(72-2차),미분류
압력센서 등 45종 구매,미분류
타이어 탈착기 등 00종 구매,9종
학군단복,미분류
(16-120) 전자제품 6품목,미분류
모래주머니 등 8품목,4종
전산용품 구매,2종
00아파트 CCTV 제조 설치납품,7종
궤도정비용장비(엔진진단장비) 외주정비,9종
거울 등 00종 구매,미분류
913-1-B사업 수리영향평가용역,미분류
16-2차 00부대 전산운영품 구매,2종
OOO지역 교환기 교체사업 등 통합리스,미분류
인쇄재료(인새용지5종)구매,미분류
간호복(체촌),미분류
여군 정복/근무복/임부복,미분류
시설물 개선공사 자재구매(실내사격장 등 3개소),4종
태극기 등 21종,미분류
바디워시 등 104종,미분류
조절기 등 2종,미분류
"컴퓨터세트,디지털형 1종",2종
"(16-314)정밀측정장비(분석기, 입자크기용)",7종
7162-1-3부대 라디에이터 자재구매,미분류
체성분분석기 1종,미분류
교관모자 등 6품목 구매,미분류
타이어 등 19품목 구매,9종
16-5차 전산용품구매,2종
미세여과기소자 등 16종,미분류
빔프로젝터 등 2종 납품 설치,미분류
"천장형 TV(75"") 등 3종 납품 설치",미분류
시설/조경 기계경비 자재구매(5차),4종
예초기 줄 등 52품목 구매,미분류
Filtering Flask 등 21품목,미분류
(조달)3훈비 토이론등26품목(16-3-211) 구매,미분류
자갈 등 21종 구매,4종
후반기 전산용품 구매,2종
분리수거함,미분류
16-평-식기세척기 임차 용역(4대),미분류
증류수 제조장치 필터 및 시약구매,9종
복사용지 등 317종 구매,미분류
코팅지 등 441종,미분류
’16-인-00지역 Buoy 재설치 외주용역,미분류
국방 무인로봇 시험평가 적용방안 연구,10종
통신용 축전지 설치납품,2종
00부대 민간위탁급식 용역,미분류
'16년 후반기 의약품 및 재료 구매,8종
153볼펜 등 278종 (2-1),미분류
나침금형 상부 등 11종(3-2),미분류
'16년 보온대(핫패드) 구매,미분류
방위사업 원가계산 외부용역 9차,미분류
"운반체,유성감속기어 등 1항목 구매(궤도)",미분류
'16-00병원 식기세척기 2대 임차 용역,미분류
출입통제체계용 UPS 제조설치,미분류
00부대 대형전시체계 구매,미분류
해상종합전술훈련장 체계구축 사업 개념 연구,10종
2016년 의무장비(멀티메타계수형) 구매,8종
2016년 의무장비(냉장고 시약보관용) 구매,8종
16-8차 일반물자(순번대기표) 구매,미분류
2016년 의무장비(의약품냉장고 소형 308리터) 구매,8종
보수자재(배수펌프 등 18종) 구매,4종
"프레스, 납시일용 등 12항목 구매(물자)",미분류
단안형야간투시경,미분류
"클레이사격용 접시구매(125원, 212,000개)",미분류
가스보일러(가정용) 구매(철거 및 설치포함),3종
차량수하등 등 10종 구매,7종
락카에어로칠 등 231종,미분류
00지역 취사용 기구 제조설치납품,미분류
플로터 전용지 등 45종,미분류
00지역 세탁장비 설치납품,미분류
폐주물사 17톤 재활용 처리용역,미분류
"가열기,온수용,전기식 등 2종",미분류
낙동강 전승행사 학생 및 병력수송 버스임차,미분류
손씻기 배너세트 등 47종(연평도),미분류
사각 휴지통 등 279종 구매(연평도),2종
16-목-28인승 버스임차 용역(3),미분류
배추 포기김치 등 8종 제조 구매,1종
배추 포기김치 등 8종 제조 구매,1종
의료기재및 장비소모품(ADSON forcep외 145종) 구매,미분류
00지역 액화석유가스(LPG) 구매,3종
전술이동통신체계 구축방안 연구용역,미분류
낙동강 전승행사 참전용사 오찬용 뷔페,미분류
M48베어링등4종구매,9종
00부대 전력시설 개선 등주 제조납품,4종
네트워크 장비 구매사업 리스,2종
시설비품 천막 제조,2종
체계설계 통합SW 외 3종 구매설치,미분류
'16년 군 통제선박 실제훈련 선박 임차,미분류
모사전송기 구매,미분류
(K)F-16 전자전 점검장비 제조,미분류
무청시래기 구매,미분류
00부대 전력시설 개선 등기구 제조납품,4종
OO함 인원이송용 승강기 정비,미분류
16-00함 추진체계제어시스템 정비,미분류
'16-00아파트 보일러 설치 납품,미분류
'16-00아파트 보일러 설치 납품,미분류
'16-00아파트 보일러 설치 납품,미분류
사이버방호체계 최적화 및 고도화 구축 연구용역,미분류
K계열전차 소부대 전술모의훈련장비 정비,미분류
주파수 합성기(저탐레이더용) 정비,미분류
푸쉬로드 등 43종,미분류
'16년 무청시래기 구매(제조),미분류
'16년 무청시래기 구매(제조),미분류
'16년 무청시래기 구매(제조),미분류
휴대용 가스버너 등 00종 구매,3종
00부대 ESCO 에너지진단 용역,미분류
16-해-이동식 지휘소 텐트 등4종 구매,2종
16-덕-경계용카메라(CCTV) 제조 납품,7종
국방망 네트워크접근제어체계 교체사업(리스물건),미분류
항온항습기 제조설치(리스물건),미분류
승용식 잔디깍기 등 4종 구매,미분류
밸브 조립체 등 2종,4종
16년 15차 부대구매 의료기재,미분류
16년 14차 부대구매 의약품,8종
전기국솥 등 3종 구매,미분류
부대의약품 및 의료기재 등 구매,8종
후반기 전산운영용품 구매,2종
16년 후반기 물탱크 청소용역,미분류
부력조정기(더블) 등 2종,미분류
인쇄용지5종 구매,미분류
"발전기세트, 가솔린엔진식 5KW",9종
00지역 축성시설 자재구매,4종
"발전기세트, 디젤엔진식 10KW",9종
"발전기세트,디젤엔진식 100KW",9종
버클류,미분류
동력계 등 1종 구매,미분류
무청시래기 구매,미분류
보안스티커 구매,미분류
도서(채식주의자 등 28종)구매,2종
16년 소방시설 종합정밀점검 용역,미분류
블랙박스 커버 구매,미분류
3분기 일반도서 구매,10종
물자 정비재료 311종 구매,미분류
`13-본-국대-01 00학교 이전 통합배선반 제조,미분류
13-본-국대-01 00학교이전 전광판 제조 설치,미분류
00사령부 위병소 과학화 출입시스템 제조설치,미분류
차세대 학습관리 시스템 도입사업,미분류
복식포말제독기 구매,미분류
수소실린더 충전기 구매,미분류
군수품 상용화 확대 정책 추진 로드맵 수립 연구,10종
16년 통신용 축전지 구매,2종
"압축기, 밀폐식 등 9품목",미분류
K277전투지휘용장갑차 소요자재 구매,7종
복사용지 구매,미분류
USB 메모리 등 92종 구매,미분류
RGB케이블 등 15종 구매,4종
16-평-어뢰추진체 보존처리 용역,미분류
"모듈,정류기용 1종",미분류
이동용 안테나 제작자재 제조/구매,미분류
파워그립장갑 등 208종 구매,미분류
"변환기,압력,유체-수력용 등 4종",미분류
스카치 포장용 테이프 등 159종,미분류
화물차용 RADIAL 타이어 구매,9종
자동음향센서 구매,10종
관사 싱크대(24평형)외1종 제조구매(철거및설치포함),미분류
도어클로져 등 200종 구매,미분류
복사용지 등 181종 구매,미분류
해사 인터넷 홈페이지 ActiveX 제거 용역,미분류
고속정모자 1종,미분류
전관 앰프 구매,미분류
지하매설물관리 앱 개발사업,미분류
기동단 압력계 500HP 외주정비 용역,미분류
'16년출입통제체계구축,미분류
16년 병영도서관 도서 구매,10종
에어컨 구매설치,미분류
장비운영소모품(69차) 구매,미분류
의무장비(7차) 냉장고 혈액은행용 대형 구매,8종
의무장비(7차) 냉장고 의약품 소형 구매,8종
의무장비(7차) 드릴셋 신경외과용 구매,8종
보급창고 CCTV(관급자재) 제조설치 납품,7종
도로비 등 22품목,미분류
훈련 지원 물품(EAR PROTECTOR 등 31종) 구매,미분류
훈련 및 부대운영 빅데이터 활용방안 연구용역,미분류
노즐팁 등 4종,미분류
해상구조용 바스켓 들것 등 7종 구매,8종
램프 등 102종 구매,미분류
16-P-02 저수시설 청소 용역,미분류
제도샤프 등 176종 구매,미분류
공기작동 발브 1종,미분류
캔맥주 등 8품목,미분류
'16-00전대 독신자숙소 냉 온정수기 임차 용역,미분류
(조달)3훈비 분석기(16-3-213) 구매,미분류
공기 시동기 1종,미분류
조교 안전통제용 X-밴드 구매,미분류
제본링 등 74종,미분류
포스트잇 팝업 알뜰팩 등 145종,미분류
"프로펠러,선박용 1종",미분류
파워헤드 등 7종,미분류
공기작동 발브 1종,미분류
해수온도조절밸브 등 4종 구매,4종
복사용지 등 21종,미분류
16-연습처(오디오잭 등10종 구매),미분류
16-포 음식물류폐기물 위탁처리 용역,미분류
16-인-매트리스 세척 및 소독 용역,미분류
일체형 마이크 구매,미분류
"접지 개별 멀티탭(3구, 1.5M) 등 11종 구매",미분류
TA-512K부품(구매),9종
대형기동헬기(CH/HH-47D) 성능개량사업 비용분석,7종
금형(인양기) 등 3종 구매,미분류
탄입대,미분류
00회관 주방기구 구매,미분류
16-1차 사이버지식정보방 물품구매,미분류
3분기 위임보수 자재구매,4종
00지역 군숙소 싱크대 제조설치납품,미분류
과학화경계시스템 유지·보수용역(16-119),미분류
16년 후반기 축성시설 자재구매,4종
인쇄소모용품및후가공제작(구매),미분류
16-2차 과학화경계시스템 외주정비(경상권),미분류
16-2차 과학화경계시스템 외주정비(경기·충청권),미분류
"바, 금속제 등 14품목",미분류
현수막 213개 제작,미분류
소방시설 종합정밀점검 및 작동기능검사,4종
고광택 포토용지 등 100종 구매,미분류
스카치 테이프 등 73종 구매,미분류
고급형 캐노피 천막외 3종 구매,2종
항공기 연료누설 시험장비 구매,미분류
전동카트 풍우커튼 등 2종 구매,미분류
황사마스크 등 5종,미분류
"(조달)3훈비 타이어등 10품목(16-3-202,203) 구매",9종
쇄석 등 3종(16-216),미분류
부대조달 의약품 구매 7차(R),8종
엡손잉크 등 7종 구매,2종
전산용품 구매(프린터 토너),2종
교육용장비 구매,미분류
잠수함 잠망경 수압시험장비 정비,미분류
복사용지 등 97종,미분류
PR Belt 등 41품목,미분류
보조배터리 등 14품목,9종
이발기기외 3종 구매,미분류
"항-16-047,050 자동면역분석기 등 42종",미분류
대형전광판및 중계/음향 시스템 임차용역,미분류
가죽잠바류,미분류
잠바류,미분류
헬멧부속재,미분류
'16년 3/4분기 교육용품 구매,미분류
00지역 영상전송체계 노후장비교체사업(5),미분류
00지역 영상전송체계 노후장비교체사업(1),미분류
13-본-국대-01 00학교이전 주차관제 제조 설치,미분류
00지역 영상전송체계 노후장비교체사업(4),미분류
전반기 전장관리체계 운영용품 구매사업,미분류
000 부대 교환기 교체사업,미분류
000 부대 PC 교체,2종
2016년 의무장비(원심분리기 세포형) 구매,8종
복지기금(자산성비품) 트레드밀 구매,미분류
2016년 의무장비(기초레력진단시스템) 구매,8종
2016년 의무장비(원심분리기 대형) 구매,8종
국군의 날 특식 과자세트 구매,미분류
00부대 경계울타리 제조설치납품(16-118),미분류
16-6차 전산운영용품 구매,2종
00단 연병장 인조잔디 제조 설치납품,미분류
방한모자 등 53종,미분류
부대 소개영화 동영상 제작 용역,미분류
"접속장치,입출력용 등 13종(2-2)",미분류
큐비클 등 8종 433점,미분류
헬멧 위장포,미분류
000체계 전산물품(서버 등 2종) 구매,미분류
00-000모델 운영장비 임차,미분류
문서회의체계 교체사업,미분류
접이식 바리케이트 3종 제조,미분류
00지역 영상전송체계 노후장비 제조설치(2),미분류
00지역 영상전송체계 노후장비 제조설치(3),미분류
00지역 자동제어 시스템 구매설치,미분류
스텐차단봉 등 7종,미분류
프린트 토너(재생),2종
의료기재 (Kirschner Wire 등 9종) 구매,미분류
000사업 워크스테이션 구매 설치,미분류
정수기 113대 임차용역(16-군수-43),미분류
M2 장간조립교 정비용역(사후52-2차),미분류
A연대지역 이동형중계기 등 8종 설치납품,미분류
"밸브,체크형 등 27항목 구매(기장)",4종
"바, 금속제 등 12품목",미분류
교관연구실 환경개선 자재구매(사무용 파티션 등 2종),10종
총기보관함 제조설치,미분류
영상코덱 4대 구매,10종
쇼핑백외 1종 구매,미분류
2수송교육단 교육대 냉방기 설치납품,미분류
16-2차 생도 해외항법훈련 용역업체 계약,미분류
목도리,미분류
간부 정복/근무복(보충),미분류
공군간부 정복/근무복(초도),미분류
해군해병 간부 정복/근무복(초도),미분류
공군사병 근무복(체촌),미분류
해병사병 근무복(체촌),미분류
해군사병 정복(체촌),미분류
디지털 모뎀 집선기 수리부속 13항목 구매(물품),9종
항공장비 오실로스코프 구매(물품),7종
비강지혈거즈 1항목 구매(물품),8종
다기능 접속장치 수리부속 등 14항목 구매(물품),9종
군단정찰용 무인항공기-Ⅱ 시설사업 선행연구,4종
복사기 및 FAX 토너 구매,2종
중고도정찰용 무인항공기 시설사업 선행연구,4종
와이어로프 등 5항목 구매(물자),미분류
00아파트 CCTV제조 설치납품,7종
00기보대대 취사식당 비품 구매,미분류
무청시래기,미분류
헌병우의 등 2종 제조,미분류
OO부대 시설관리 및 조경관리 용역(2),미분류
도서구입(완벽하지 않은 것들에 대한사랑 등 41품목),10종
의약품(울트라셋 등 17종) 구매,8종
우수 과학기술 인재의 국방(군) 분야 활용방안 연구,10종
무청시래기,미분류
토너 등 10종,2종
의약품 및 의료기재 구매(수정),8종
16년 3분기 전산운영용품 구매,2종
돈등뼈 등 6종,미분류
냉동꽃게 등 5종,미분류
감귤 등 10종,미분류
"예비군식당 비품구매(의자, 테이블)",2종
특수봉인지 구매,미분류
전화 영어교육 용역(16-2차),미분류
16-00사 조경 용역,미분류
컬러색지 등 357종,미분류
VIP SEAT 트레일러 제조구매,7종
유압 모터 1종,미분류
리치스테이커 타이어 구매,9종
카트리지 필터 248개 제조,9종
보호대 등 9종,미분류
공사용 관급자재(조명기구) 제조,4종
감자수제비 등 93종,미분류
CATV 녹화 제어 시스템 설치 납품,미분류
모니터 휠 밸런스기외 1종 설치납품,2종
체계 정비용 자재 구매(1차),미분류
영내 관사 놀이터 시설물 구매 설치 및 보수,4종
에어콤프레샤(22CFM),미분류
복사지 등 269종 구매,미분류
2016년 수송동원함 구매,미분류
2016년 의무장비(손 세척대) 2차 구매,8종
2016년 의무장비(수액조절기) 구매,8종
2016년 수송동원함 구매,미분류
2016년 의무장비(한냉요법장치) 구매,8종
2016년 의무장비(혈액가온장치) 구매,8종
2016년 재투자 의무장비(의약품냉장고 소형) 구매,8종
2016년 의무장비(음압유지기 격리병실용) 구매,8종
수성펜 등 52종,미분류
특수무기 외주도장 용역(저탐전면판),미분류
해병대 워게임모델 장비 유지보수 용역,미분류
장니플 등 93종,미분류
낙동강 전승행사 참관학생 버스임차 용역,미분류
'16-4차 탄약 크레인카(M-3) 외주정비 용역,미분류
'16-3차 항공기 견인차 등 5종 7점 외주정비 용역,미분류
'16-5차 형광침투검사장비 외주정비 용역,미분류
20mm철재탄피통외주정비,미분류
의무장비(6차) 치과유니트 및 의자 구매,2종
의무장비(6차) 건열기 병리시험건조용 구매,8종
양극조립체 등 4종,미분류
00부대 의료기재 등 구매 7차,미분류
비데 구매(연평도),미분류
ESCO사업 에너지 진단 용역,미분류
헬륨가스 구매,3종
자기/전자기 실습 모듈 등 7종,미분류
시트지 등 775종,미분류
낙동강 전승행사 참전용사 버스임차 용역,미분류
배터리 3종 구매,9종
무소음발전기 등 32종 구매,미분류
자바라 콘베이어 등 4품목 구매,미분류
진해000보존소 해충방제,미분류
복사용지 등 29종,미분류
스카치매직테이프 등 32종,미분류
000관리대 물자보관창고 선반 제작,미분류
배터리 2종 구매,9종
병력 수송차량 임차용역,미분류
후반기 모범근무자 국내 안보교육 용역,미분류
전투배낭(후레임포함)  구매,미분류
리더스 플러스 클립보드 등 108종,미분류
LED충전식라이트 등 61종,4종
"리테이너,나선형 압축용수철용",미분류
순수초순수제초장치 구매,미분류
복사용지 등 159종,미분류
동력분무기 등 2종 구매,미분류
밸브 등 14종 구매,4종
포스트잇 팝업팩 등 33종,미분류
이동용 편집기 가방 등 11종,미분류
온도감지기 등 4종,미분류
예초기 등 3종 구매,미분류
'16년 155밀리 모의적재훈련탄,미분류
"생산단 도포기, 궤도핀용 외주정비 용역",미분류
"4,000G/A 유조차",미분류
3/4분기 전산운영용품 구매,2종
"간,조준용 등 3항목 제조(생산능력확인,총포)",미분류
우측 덮개 조립체 등 4항목 구매(총포),미분류
조종간 등 17항목 제조(특무),미분류
트랜지스터 등 25항목 구매(특무),미분류
헌병포제휘장 등 28종,미분류
야전책상 구매,2종
도서(한국사2주 끝장 고급) 등 11종,10종
솔라포스 라이트 등 15종,미분류
부대정기 등 240품목 구매,미분류
포승줄 등 30 구매,미분류
오븐받침대 등 5종 구매,미분류
롤 백상지 등 190종,미분류
페인트 붓 등 80종,4종
3분기 교육/실습재료 구매,미분류
트랜스 밋션작키 1개,미분류
복사용지 등 65종 구매,미분류
방진마스크 등 157종 구매,미분류
가변저항 등 6종 구매,미분류
16-공-비상취사세트 90EA 제조,미분류
자장면,미분류
가락국수,1종
가락국수,1종
00부대 00진지 전원공급기 제조설치,미분류
발칸 계전기구매,미분류
K55베어링구매,9종
궤도단 제동장치 시험장비 외주정비 용역,미분류
"암,조절,차량서스펜션용 1항목 구매(기장)",7종
000사업 정보통신장비 설치납품,미분류
지상군페스티벌 육군 이야기 마당 등 시설설치 용역,미분류
00 징후분석체계 구축,미분류
BigData /vc를 활용한 무기체계 효과분석 연구,10종
「2016 국방백서」영문본 및 요약본 번역 용역,미분류
16-3차 전산운영용품 구매,2종
00테니스장 인조잔디 구매 설치납품,미분류
실버 카드링 등 117종,미분류
잉크(적색) 등 137품목 구매,2종
MIMS연동체계 장비 구매,미분류
M2 장간조립교 외주정비 용역,미분류
M2 장간조립교 외주정비 용역,미분류
00부대 유휴폐기물 처리공사,10종
고강도 콘크리트파일(PHC파일) 구매,4종
항만경비정 주추진기(water jet) 정비,미분류
유압작동유,미분류
전자접촉기 등 20종 구매,미분류
소화기(총류) 부품류(구매)A,2종
00 기동형 중계소 안테나 구축,미분류
00 기동형 중계소 안테나 구축,미분류
2016년 전자식교환기(VolP) 교체사업,미분류
16년 원격정비지원체계 구축사업(리스물건),미분류
"세제, 세탁용 1항목 구매(물자)",2종
방송장비 구매(포병여단),미분류
정류기 보조조립체 등 7종,미분류
양면 각대봉투 등 164종 구매,미분류
라우터 시리얼카드 2EA 구매,미분류
레이저 포인터 등 331종 구매,미분류
마그밀정 등 36종 구매,미분류
16-동 실내 공기질 측정 용역,미분류
16-수상함예인정 건조,미분류
녹음 전화기 구매납품,2종
TA-512K부품(구매),9종
17년 예비군 안보교육 표준교안 제작,미분류
생도피복(침구류) 제조납품,2종
국방 의료정보 빅데이터 분석체계 구축사업 연구용역,미분류
연동종합관리체계 노후장비 교체사업,미분류
PP컬러 정부화일 등 451품목,미분류
도어록 등 264종,미분류
더블에이 복사용지 등 330종,미분류
등심돈까스 등 4품목,미분류
16-P-광단국장비 및 키폰교환기 유지보수 용역,미분류
항온항습기 1종 구매,미분류
공병 친마사 구매,미분류
16년 후반기 디지털인쇄기/컬러복합기 재료 구매,미분류
니트릴폼코팅 장갑 등 17종 구매,미분류
송풍기 등 6종 구매,미분류
방충망 450EA 납품 설치,미분류
자동차 타이어 등 12종 구매,9종
간장 고추지 등 10종,1종
일반우유 등 18종,1종
00부대 유류공급시설건설 관급자재(혼합골재) 제조,미분류
공군 이러닝 모바일교육체계 개발사업(리스물건),미분류
F.R.P. 폐선체(1척) 해체 용역,미분류
군장비정비 및 군수리부속 원가계산용역,미분류
방화지대 구축 용역(경기 가평등 6곳),미분류
16년 3/4분기 정보체계예산 구매,미분류
낙동강 전승행사 기념품(등산모자) 납품,10종
00부대 통합시설 GHP 냉난방기 설치납품,4종
'17년 해군수첩 외피(6공) 제조,미분류
벤치프레스외31종,미분류
가변저항 등 9종 구매,미분류
해수 스트레이너 등 9종 구매,미분류
LED TV 22EA 구매,4종
일공펀치 등 34종,미분류
스테플 등 343품목 구매,미분류
의료기재 53종 구매,미분류
16-00전대 폐기물 처리용역,미분류
히알큐 점안액 등 90종,미분류
송풍기 등 3종,미분류
"콘덴샤,교류용 등 3종",미분류
"밸브,버섯형,엔진용 등 4종",4종
절취스프링 노트 등 177종,미분류
16-참모대(태극-JOS모델 장비임차용역),미분류
하수관 청소기 등 193품목 구매,미분류
케이블 닥트 등 194품목 구매,4종
의약품 및 의료기재 39품목 구매,8종
16-지원과 시설자재(자갈 등100종)구매,4종
인사처 국가기술 자격검정 도서 구매,10종
벤치프레스 등 5종,미분류
낙동강 전승행사 기념품(손목시계) 제조납품,10종
런닝머신 등 2종,미분류
조타실방탄유리 등 6종 구매,4종
구명부환 10EA 구매,미분류
포토용지 등 43종,미분류
복사용지 등 43종,미분류
연필깎이 등 100종,미분류
외장하드 등 363종 구매,미분류
병력책정기준 산정과 연계한 조직진단 기법 체계 연구,10종
소고기 육포 제조 납품,1종
일용품(세탁비누 등 12종) 구매,10종
16-기중기정 건조(60톤),미분류
PRC-999K부품(구매),9종
폐수 고도처리시설 오존산화조 청소용역,미분류
16-계류지원정(450톤) 건조,미분류
00대학 네트워크접근통제체계 구축,미분류
노후 전자감지기 보강 사업,미분류
16-1차 복지기금(운동기구) 구매,2종
추석특식 빵세트 구매,미분류
"16-계류지원정(600, 300, 200, 70톤급) 건조",미분류
"전자모듈, 표준화형 6EA",미분류
작전용 방탄헬멧 등 5종 구매,2종
전자해도표시스템(ECDIS) 유지보수 정비,4종
향방작전용 PMS통합관제시스템 관제 P/G 등 6종 구매,미분류
K1전차 베어링등4종구매,7종
K1개스킷등9종구매,미분류
K1나사등33종구매,미분류
"'16년 축성도구(삽,곡괭이) 구매",미분류
16-조-46 레그컬기구 등 10종,미분류
손목보호대 등 28품목,미분류
16년 OO부대 청소용역(3),미분류
유류시험장비(증발감량시험기 등 3종) 구매,7종
공군 이러닝 무선기반체계 구축사업(리스물건),미분류
주둔지 경계용 CCTV 제조설치,7종
OO부대 시설관리 및 조경관리 용역,미분류
16-덕-열영상감시카메라(CCTV) 제조 설치,7종
항온항습기 (ECU) 제조 설치,미분류
수리부속 10종 구매,9종
손목보호대 등 28품목,미분류
후반기 의약품 구매,8종
후반기 폐목재 위탁처리 용역,미분류
3분기 식품검사 재료구매,미분류
행사장(무대 및 음향 등) 구성물품 임차,10종
카드링 등 196종 구매,미분류
도서(120일간기적등370품목),10종
복사용지 등 102종,미분류
커넥팅 플라이어 등 17종 구매,미분류
복사용지 등 216종,미분류
강화도어 스텐바 등 37종,미분류
16-000대대 정수기(3대) 임차 용역,미분류
16-지원과 복사기 토너 등38종 구매,2종
의약품 및 임상병리 시약 구매(8월),8종
인화지(5인치) 등 85품목,미분류
방수용장갑 1종,4종
후반기 정신교육 영상교재(국가관) 제작 용역,미분류
산악침투복,미분류
비행복,미분류
무전기세트 안테나 등 2항목 제조(물품),2종
16년 오리콘 몸통,미분류
00지역 토탈지원 서비스 자재구매,미분류
배낭부속재류,미분류
항온항습기(15RT) 제조 설치,미분류
디지털인쇄기 부품 및 소모품(토너검정등 14종) 구매,2종
"신병 포제, 루프테이프 제작 및 부착",미분류
16년 풋살장 신축공사 p.p바닥재 설치납품,미분류
16년 신앙상징물 구매,미분류
